SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
11 1 1 0.5195 1 1 1 0.025 4.025
11 2 1 0.4941 0 0 1 0.025 4.050
11 3 1 0.5195 1 0 0 0.000 4.050
11 4 1 0.4941 0 1 0 0.000 4.050
11 5 1 0.5195 1 1 1 0.025 4.075
11 6 1 0.4941 0 0 1 0.025 4.100
11 7 1 0.4941 0 0 1 0.025 4.125
11 8 1 0.5195 1 0 0 0.000 4.125
11 9 1 0.4941 0 0 1 0.025 4.150
11 10 1 0.5195 1 0 0 0.000 4.150
11 11 1 0.5195 1 0 0 0.000 4.150
11 12 1 0.4941 0 1 0 0.000 4.150
11 13 1 0.4941 0 0 1 0.025 4.175
11 14 1 0.4941 0 0 1 0.025 4.200
11 15 1 0.4941 0 0 1 0.025 4.225
11 16 1 0.5195 1 0 0 0.000 4.225
11 17 1 0.5195 1 1 1 0.025 4.250
11 18 1 0.4941 0 1 0 0.000 4.250
11 19 1 0.4941 0 0 1 0.025 4.275
11 20 1 0.5195 1 0 0 0.000 4.275
11 21 1 0.5195 1 1 1 0.025 4.300
11 22 1 0.5195 1 1 1 0.025 4.325
11 23 1 0.4941 0 1 0 0.000 4.325
11 24 1 0.4941 0 0 1 0.025 4.350
11 25 1 0.4941 0 0 1 0.025 4.375
11 26 1 0.4941 0 0 1 0.025 4.400
11 27 1 0.4941 0 0 1 0.025 4.425
11 28 1 0.5195 1 0 0 0.000 4.425
11 29 1 0.5195 1 1 1 0.025 4.450
11 30 1 0.5195 1 1 1 0.025 4.475
11 31 1 0.5195 1 1 1 0.025 4.500
11 32 1 0.4941 0 0 1 0.025 4.525
11 33 1 0.4941 0 0 1 0.025 4.550
11 34 1 0.4941 0 0 1 0.025 4.575
11 35 1 0.4941 0 0 1 0.025 4.600
11 36 1 0.4941 0 1 0 0.000 4.600
11 37 1 0.4941 0 0 1 0.025 4.625
11 38 1 0.5195 1 0 0 0.000 4.625
11 39 1 0.5195 1 1 1 0.025 4.650
11 40 1 0.4941 0 1 0 0.000 4.650
11 41 1 0.4941 0 1 0 0.000 4.650
11 42 1 0.5195 1 1 1 0.025 4.675
11 43 1 0.4941 0 0 1 0.025 4.700
11 44 1 0.4941 0 0 1 0.025 4.725
11 45 1 0.5195 1 0 0 0.000 4.725
11 46 1 0.5195 1 0 0 0.000 4.725
11 47 1 0.5195 1 0 0 0.000 4.725
11 48 1 0.5195 1 1 1 0.025 4.750
11 49 1 0.5195 1 1 1 0.025 4.775
11 50 1 0.4941 0 0 1 0.025 4.800
11 51 1 0.4941 0 0 1 0.025 4.825
11 52 1 0.5195 1 1 1 0.025 4.850
11 53 1 0.5195 1 1 1 0.025 4.875
11 54 1 0.4941 0 0 1 0.025 4.900
11 55 1 0.5195 1 0 0 0.000 4.900
11 56 1 0.4941 0 0 1 0.025 4.925
11 57 1 0.5195 1 1 1 0.025 4.950
11 58 1 0.5195 1 1 1 0.025 4.975
11 59 1 0.4941 0 1 0 0.000 4.975
11 60 1 0.5195 1 1 1 0.025 5.000
11 61 1 0.4941 0 0 1 0.025 5.025
11 62 1 0.5195 1 0 0 0.000 5.025
11 63 1 0.5195 1 1 1 0.025 5.050
11 64 1 0.4941 0 1 0 0.000 5.050
11 65 1 0.4941 0 1 0 0.000 5.050
11 66 1 0.5195 1 0 0 0.000 5.050
11 67 1 0.4941 0 0 1 0.025 5.075
11 68 1 0.4941 0 0 1 0.025 5.100
11 69 1 0.5195 1 0 0 0.000 5.100
11 70 1 0.4941 0 0 1 0.025 5.125
11 71 1 0.5195 1 1 1 0.025 5.150
11 72 1 0.4941 0 1 0 0.000 5.150
11 73 1 0.4941 0 1 0 0.000 5.150
11 74 1 0.5195 1 1 1 0.025 5.175
11 75 1 0.4941 0 0 1 0.025 5.200
11 76 1 0.5195 1 1 1 0.025 5.225
11 77 1 0.5195 1 0 0 0.000 5.225
11 78 1 0.4941 0 0 1 0.025 5.250
11 79 1 0.5195 1 1 1 0.025 5.275
11 80 1 0.5195 1 1 1 0.025 5.300
11 81 1 0.5195 1 0 0 0.000 5.300
11 82 1 0.5195 1 1 1 0.025 5.325
11 83 1 0.4941 0 0 1 0.025 5.350
11 84 1 0.5195 1 1 1 0.025 5.375
11 85 1 0.4941 0 0 1 0.025 5.400
11 86 1 0.5195 1 0 0 0.000 5.400
