Subj b_fit w_fit pr_fit T_fit LogML AIC BIC
1 4 0.2679 0.6780 0.9034 -127.3420 262.68 275.88
2 1 0.9963 0.0803 0.0016 -110.8007 229.60 242.79
3 8 0.8935 0.6429 3.2137 -136.7394 281.48 294.67
4 6 0.1737 0.6116 3.6935 -135.4082 278.82 292.01
5 6 0.9523 0.6919 0.0500 -131.6944 271.39 284.58
6 10 0.8686 0.9262 0.0090 -124.1226 256.25 269.44
7 3 0.0029 0.6151 2.1193 -135.2057 278.41 291.60
8 5 0.9315 0.9304 0.0361 -125.9661 259.93 273.13
9 1 0.0105 0.5934 0.4536 -116.0102 240.02 253.21
10 8 0.6210 0.8904 0.3807 -126.0131 260.03 273.22
11 4 0.9125 0.9125 0.0008 -117.3271 242.65 255.85
12 4 0.9882 0.9976 0.0005 -123.8505 255.70 268.89

