SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
12 1 1 0.4879 0 0 1 0.025 4.025
12 2 1 0.4879 0 0 1 0.025 4.050
12 3 1 0.5166 1 0 0 0.000 4.050
12 4 1 0.5166 1 1 1 0.025 4.075
12 5 1 0.5166 1 1 1 0.025 4.100
12 6 1 0.4879 0 0 1 0.025 4.125
12 7 1 0.5166 1 0 0 0.000 4.125
12 8 1 0.5166 1 1 1 0.025 4.150
12 9 1 0.4879 0 0 1 0.025 4.175
12 10 1 0.5166 1 0 0 0.000 4.175
12 11 1 0.4879 0 1 0 0.000 4.175
12 12 1 0.5166 1 1 1 0.025 4.200
12 13 1 0.4879 0 1 0 0.000 4.200
12 14 1 0.4879 0 0 1 0.025 4.225
12 15 1 0.4879 0 0 1 0.025 4.250
12 16 1 0.5166 1 0 0 0.000 4.250
12 17 1 0.4879 0 0 1 0.025 4.275
12 18 1 0.4879 0 0 1 0.025 4.300
12 19 1 0.4879 0 0 1 0.025 4.325
12 20 1 0.4879 0 0 1 0.025 4.350
12 21 1 0.4879 0 0 1 0.025 4.375
12 22 1 0.5166 1 1 1 0.025 4.400
12 23 1 0.4879 0 0 1 0.025 4.425
12 24 1 0.5166 1 1 1 0.025 4.450
12 25 1 0.4879 0 0 1 0.025 4.475
12 26 1 0.5166 1 1 1 0.025 4.500
12 27 1 0.4879 0 0 1 0.025 4.525
12 28 1 0.5166 1 1 1 0.025 4.550
12 29 1 0.5166 1 1 1 0.025 4.575
12 30 1 0.5166 1 1 1 0.025 4.600
12 31 1 0.5166 1 1 1 0.025 4.625
12 32 1 0.4879 0 1 0 0.000 4.625
12 33 1 0.4879 0 1 0 0.000 4.625
12 34 1 0.4879 0 0 1 0.025 4.650
12 35 1 0.4879 0 0 1 0.025 4.675
12 36 1 0.4879 0 0 1 0.025 4.700
12 37 1 0.5166 1 0 0 0.000 4.700
12 38 1 0.5166 1 1 1 0.025 4.725
12 39 1 0.5166 1 0 0 0.000 4.725
12 40 1 0.4879 0 0 1 0.025 4.750
12 41 1 0.5166 1 1 1 0.025 4.775
12 42 1 0.5166 1 1 1 0.025 4.800
12 43 1 0.5166 1 1 1 0.025 4.825
12 44 1 0.5166 1 1 1 0.025 4.850
12 45 1 0.5166 1 1 1 0.025 4.875
12 46 1 0.4879 0 0 1 0.025 4.900
12 47 1 0.4879 0 0 1 0.025 4.925
12 48 1 0.4879 0 1 0 0.000 4.925
12 49 1 0.5166 1 0 0 0.000 4.925
12 50 1 0.5166 1 1 1 0.025 4.950
12 51 1 0.4879 0 0 1 0.025 4.975
12 52 1 0.5166 1 1 1 0.025 5.000
12 53 1 0.5166 1 1 1 0.025 5.025
12 54 1 0.5166 1 1 1 0.025 5.050
12 55 1 0.5166 1 1 1 0.025 5.075
12 56 1 0.4879 0 0 1 0.025 5.100
12 57 1 0.5166 1 1 1 0.025 5.125
12 58 1 0.5166 1 1 1 0.025 5.150
12 59 1 0.5166 1 1 1 0.025 5.175
12 60 1 0.5166 1 0 0 0.000 5.175
12 61 1 0.5166 1 1 1 0.025 5.200
12 62 1 0.5166 1 1 1 0.025 5.225
12 63 1 0.4879 0 0 1 0.025 5.250
12 64 1 0.5166 1 0 0 0.000 5.250
12 65 1 0.4879 0 0 1 0.025 5.275
12 66 1 0.4879 0 0 1 0.025 5.300
12 67 1 0.4879 0 0 1 0.025 5.325
12 68 1 0.4879 0 0 1 0.025 5.350
12 69 1 0.5166 1 1 1 0.025 5.375
12 70 1 0.4879 0 0 1 0.025 5.400
12 71 1 0.4879 0 0 1 0.025 5.425
12 72 1 0.4879 0 0 1 0.025 5.450
12 73 1 0.4879 0 1 0 0.000 5.450
12 74 1 0.5166 1 0 0 0.000 5.450
12 75 1 0.5166 1 0 0 0.000 5.450
12 76 1 0.5166 1 1 1 0.025 5.475
12 77 1 0.4879 0 0 1 0.025 5.500
12 78 1 0.5166 1 0 0 0.000 5.500
12 79 1 0.5166 1 1 1 0.025 5.525
12 80 1 0.5166 1 1 1 0.025 5.550
12 81 1 0.5166 1 1 1 0.025 5.575
12 82 1 0.4879 0 1 0 0.000 5.575
12 83 1 0.4879 0 1 0 0.000 5.575
12 84 1 0.4879 0 0 1 0.025 5.600
12 85 1 0.4879 0 0 1 0.025 5.625
12 86 1 0.5166 1 1 1 0.025 5.650
12 87 1 0.4879 0 1 0 0.000 5.650
12 88 1 0.4879 0 0 1 0.025 5.675
