Subj alpha_fit T_fit LogML AIC BIC
1 0.089574 2.617481 -137.71 279.42 286.02
2 0.152111 0.113691 -109.52 223.04 229.63
3 0.977152 0.935858 -127.20 258.40 264.99
4 0.000114 66.476595 -138.00 280.00 286.60
5 0.032367 0.103226 -123.12 250.24 256.83
6 0.481354 0.396346 -122.81 249.62 256.21
7 0.038520 0.033372 -120.77 245.54 252.13
8 0.664799 0.471306 -123.46 250.93 257.52
9 0.505180 3.879541 -138.22 280.44 287.03
10 0.029877 0.232861 -132.60 269.20 275.80
11 0.027076 0.038408 -117.16 238.32 244.92
12 0.416599 0.001113 -120.50 245.01 251.61
