SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
5 1 0 0.4959 0 0 1 0.025 4.025
5 2 0 0.5256 1 1 1 0.025 4.050
5 3 0 0.4959 0 0 1 0.025 4.075
5 4 0 0.4959 0 1 0 0.000 4.075
5 5 0 0.5256 1 1 1 0.025 4.100
5 6 0 0.4959 0 1 0 0.000 4.100
5 7 0 0.5256 1 1 1 0.025 4.125
5 8 0 0.5256 1 1 1 0.025 4.150
5 9 0 0.5256 1 1 1 0.025 4.175
5 10 0 0.4959 0 1 0 0.000 4.175
5 11 0 0.4959 0 1 0 0.000 4.175
5 12 0 0.4959 0 1 0 0.000 4.175
5 13 0 0.5256 1 1 1 0.025 4.200
5 14 0 0.4959 0 1 0 0.000 4.200
5 15 0 0.4959 0 0 1 0.025 4.225
5 16 0 0.5256 1 1 1 0.025 4.250
5 17 0 0.4959 0 1 0 0.000 4.250
5 18 0 0.5256 1 1 1 0.025 4.275
5 19 0 0.4959 0 1 0 0.000 4.275
5 20 0 0.4959 0 1 0 0.000 4.275
5 21 0 0.4959 0 0 1 0.025 4.300
5 22 0 0.4959 0 0 1 0.025 4.325
5 23 0 0.5256 1 0 0 0.000 4.325
5 24 0 0.4959 0 1 0 0.000 4.325
5 25 0 0.4959 0 0 1 0.025 4.350
5 26 0 0.5256 1 1 1 0.025 4.375
5 27 0 0.5256 1 0 0 0.000 4.375
5 28 0 0.5256 1 1 1 0.025 4.400
5 29 0 0.4959 0 1 0 0.000 4.400
5 30 0 0.5256 1 0 0 0.000 4.400
5 31 0 0.5256 1 1 1 0.025 4.425
5 32 0 0.4959 0 0 1 0.025 4.450
5 33 0 0.5256 1 0 0 0.000 4.450
5 34 0 0.4959 0 0 1 0.025 4.475
5 35 0 0.5256 1 0 0 0.000 4.475
5 36 0 0.4959 0 1 0 0.000 4.475
5 37 0 0.5256 1 1 1 0.025 4.500
5 38 0 0.4959 0 0 1 0.025 4.525
5 39 0 0.5256 1 0 0 0.000 4.525
5 40 0 0.4959 0 0 1 0.025 4.550
5 41 0 0.5256 1 1 1 0.025 4.575
5 42 0 0.5256 1 1 1 0.025 4.600
5 43 0 0.4959 0 0 1 0.025 4.625
5 44 0 0.4959 0 0 1 0.025 4.650
5 45 0 0.4959 0 0 1 0.025 4.675
5 46 0 0.4959 0 0 1 0.025 4.700
5 47 0 0.5256 1 0 0 0.000 4.700
5 48 0 0.4959 0 1 0 0.000 4.700
5 49 0 0.5256 1 1 1 0.025 4.725
5 50 0 0.4959 0 0 1 0.025 4.750
5 51 0 0.4959 0 0 1 0.025 4.775
5 52 0 0.4959 0 0 1 0.025 4.800
5 53 0 0.5256 1 0 0 0.000 4.800
5 54 0 0.5256 1 1 1 0.025 4.825
5 55 0 0.5256 1 1 1 0.025 4.850
5 56 0 0.5256 1 0 0 0.000 4.850
5 57 0 0.4959 0 0 1 0.025 4.875
5 58 0 0.4959 0 0 1 0.025 4.900
5 59 0 0.5256 1 1 1 0.025 4.925
5 60 0 0.5256 1 1 1 0.025 4.950
5 61 0 0.4959 0 0 1 0.025 4.975
5 62 0 0.5256 1 0 0 0.000 4.975
5 63 0 0.5256 1 0 0 0.000 4.975
5 64 0 0.5256 1 1 1 0.025 5.000
5 65 0 0.5256 1 1 1 0.025 5.025
5 66 0 0.5256 1 0 0 0.000 5.025
5 67 0 0.5256 1 1 1 0.025 5.050
5 68 0 0.5256 1 1 1 0.025 5.075
5 69 0 0.5256 1 0 0 0.000 5.075
