Subj alpha_fit T_fit LogML AIC BIC
1 0.970959 0.923154 -129.26 262.53 269.12
2 0.045849 0.017340 -112.16 228.33 234.92
3 0.000918 0.012539 -133.85 271.69 278.29
4 0.370228 1.921084 -136.84 277.67 284.27
5 0.013143 0.029979 -123.88 251.76 258.35
6 0.019435 0.020115 -126.04 256.08 262.67
7 0.029487 0.004619 -121.69 247.38 253.98
8 0.003334 0.022118 -128.59 261.17 267.77
9 0.998906 0.453516 -116.88 237.76 244.35
10 0.111077 0.324056 -129.40 262.81 269.40
11 0.047305 0.009021 -117.65 239.30 245.90
12 0.045849 0.017340 -123.65 251.29 257.89
