SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
4 1 0 0.4745 0 0 1 0.025 4.025
4 2 0 0.4745 0 0 1 0.025 4.050
4 3 0 0.4745 0 0 1 0.025 4.075
4 4 0 0.4956 1 0 0 0.000 4.075
4 5 0 0.4745 0 0 1 0.025 4.100
4 6 0 0.4745 0 0 1 0.025 4.125
4 7 0 0.4956 1 0 0 0.000 4.125
4 8 0 0.4745 0 1 0 0.000 4.125
4 9 0 0.4745 0 0 1 0.025 4.150
4 10 0 0.4745 0 1 0 0.000 4.150
4 11 0 0.4745 0 0 1 0.025 4.175
4 12 0 0.4745 0 1 0 0.000 4.175
4 13 0 0.4956 1 0 0 0.000 4.175
4 14 0 0.4745 0 1 0 0.000 4.175
4 15 0 0.4745 0 0 1 0.025 4.200
4 16 0 0.4745 0 1 0 0.000 4.200
4 17 0 0.4956 1 0 0 0.000 4.200
4 18 0 0.4745 0 1 0 0.000 4.200
4 19 0 0.4745 0 0 1 0.025 4.225
4 20 0 0.4956 1 0 0 0.000 4.225
4 21 0 0.4956 1 1 1 0.025 4.250
4 22 0 0.4745 0 1 0 0.000 4.250
4 23 0 0.4956 1 1 1 0.025 4.275
4 24 0 0.4745 0 0 1 0.025 4.300
4 25 0 0.4956 1 0 0 0.000 4.300
4 26 0 0.4745 0 0 1 0.025 4.325
4 27 0 0.4745 0 1 0 0.000 4.325
4 28 0 0.4956 1 0 0 0.000 4.325
4 29 0 0.4956 1 1 1 0.025 4.350
4 30 0 0.4956 1 1 1 0.025 4.375
4 31 0 0.4745 0 1 0 0.000 4.375
4 32 0 0.4956 1 0 0 0.000 4.375
4 33 0 0.4956 1 1 1 0.025 4.400
4 34 0 0.4956 1 0 0 0.000 4.400
4 35 0 0.4956 1 1 1 0.025 4.425
4 36 0 0.4745 0 0 1 0.025 4.450
4 37 0 0.4956 1 0 0 0.000 4.450
4 38 0 0.4956 1 1 1 0.025 4.475
4 39 0 0.4745 0 0 1 0.025 4.500
4 40 0 0.4745 0 1 0 0.000 4.500
4 41 0 0.4745 0 0 1 0.025 4.525
4 42 0 0.4956 1 1 1 0.025 4.550
4 43 0 0.4745 0 1 0 0.000 4.550
4 44 0 0.4956 1 0 0 0.000 4.550
4 45 0 0.4956 1 1 1 0.025 4.575
4 46 0 0.4745 0 0 1 0.025 4.600
4 47 0 0.4956 1 0 0 0.000 4.600
4 48 0 0.4956 1 1 1 0.025 4.625
4 49 0 0.4745 0 1 0 0.000 4.625
4 50 0 0.4956 1 0 0 0.000 4.625
4 51 0 0.4745 0 1 0 0.000 4.625
4 52 0 0.4745 0 0 1 0.025 4.650
4 53 0 0.4745 0 1 0 0.000 4.650
4 54 0 0.4956 1 0 0 0.000 4.650
4 55 0 0.4745 0 0 1 0.025 4.675
4 56 0 0.4956 1 0 0 0.000 4.675
4 57 0 0.4745 0 1 0 0.000 4.675
4 58 0 0.4956 1 0 0 0.000 4.675
4 59 0 0.4956 1 1 1 0.025 4.700
4 60 0 0.4745 0 0 1 0.025 4.725
4 61 0 0.4956 1 0 0 0.000 4.725
4 62 0 0.4956 1 1 1 0.025 4.750
4 63 0 0.4956 1 1 1 0.025 4.775
4 64 0 0.4745 0 1 0 0.000 4.775
4 65 0 0.4956 1 0 0 0.000 4.775
4 66 0 0.4745 0 1 0 0.000 4.775
4 67 0 0.4956 1 0 0 0.000 4.775
4 68 0 0.4956 1 1 1 0.025 4.800
4 69 0 0.4956 1 1 1 0.025 4.825
4 70 0 0.4745 0 1 0 0.000 4.825
4 71 0 0.4956 1 0 0 0.000 4.825
4 72 0 0.4745 0 1 0 0.000 4.825
4 73 0 0.4745 0 1 0 0.000 4.825
4 74 0 0.4745 0 1 0 0.000 4.825
4 75 0 0.4956 1 0 0 0.000 4.825
4 76 0 0.4745 0 1 0 0.000 4.825
4 77 0 0.4745 0 0 1 0.025 4.850
4 78 0 0.4956 1 0 0 0.000 4.850
4 79 0 0.4745 0 1 0 0.000 4.850
4 80 0 0.4745 0 0 1 0.025 4.875
4 81 0 0.4956 1 1 1 0.025 4.900
4 82 0 0.4956 1 0 0 0.000 4.900
4 83 0 0.4956 1 1 1 0.025 4.925
4 84 0 0.4956 1 0 0 0.000 4.925
4 85 0 0.4956 1 1 1 0.025 4.950
4 86 0 0.4745 0 0 1 0.025 4.975
4 87 0 0.4956 1 1 1 0.025 5.000
4 88 0 0.4956 1 0 0 0.000 5.000
4 89 0 0.4956 1 1 1 0.025 5.025
4 90 0 0.4745 0 0 1 0.025 5.050
4 91 0 0.4745 0 0 1 0.025 5.075
4 92 0 0.4745 0 0 1 0.025 5.100
4 93 0 0.4956 1 0 0 0.000 5.100
4 94 0 0.4745 0 0 1 0.025 5.125
4 95 0 0.4745 0 0 1 0.025 5.150
4 96 0 0.4956 1 0 0 0.000 5.150
4 97 0 0.4745 0 1 0 0.000 5.150
4 98 0 0.4956 1 0 0 0.000 5.150
4 99 0 0.4956 1 1 1 0.025 5.175
4 100 0 0.4956 1 1 1 0.025 5.200
4 101 1 0.4956 1 1 1 0.025 5.225
4 102 1 0.4956 1 1 1 0.025 5.250
4 103 1 0.4745 0 1 0 0.000 5.250
4 104 1 0.4956 1 1 1 0.025 5.275
4 105 1 0.4956 1 0 0 0.000 5.275
4 106 1 0.4745 0 0 1 0.025 5.300
4 107 1 0.4745 0 1 0 0.000 5.300
4 108 1 0.4956 1 1 1 0.025 5.325
4 109 1 0.4745 0 1 0 0.000 5.325
4 110 1 0.4956 1 0 0 0.000 5.325
4 111 1 0.4745 0 0 1 0.025 5.350
4 112 1 0.4956 1 1 1 0.025 5.375
4 113 1 0.4745 0 0 1 0.025 5.400
4 114 1 0.4745 0 0 1 0.025 5.425
4 115 1 0.4745 0 1 0 0.000 5.425
4 116 1 0.4956 1 1 1 0.025 5.450
4 117 1 0.4956 1 1 1 0.025 5.475
4 118 1 0.4745 0 1 0 0.000 5.475
4 119 1 0.4956 1 1 1 0.025 5.500
4 120 1 0.4956 1 0 0 0.000 5.500
