Subj rho_fit b_fit w_fit pr_fit T_fit LogML AIC BIC
1 0.5389 3 0.4154 0.7771 0.8194 -123.9129 257.83 274.32
2 0.8212 4 0.7862 0.8013 0.0469 -94.0101 198.02 214.51
3 0.9828 6 0.5485 0.5172 3.0795 -125.0921 260.18 276.68
4 0.5447 5 0.1075 0.4506 1.8598 -134.3343 278.67 295.16
5 0.9811 3 0.3087 0.1387 2.8673 -121.7036 253.41 269.90
6 0.9313 6 0.7525 0.7304 2.0884 -120.7788 251.56 268.05
7 0.9977 4 0.7384 0.4952 2.8378 -117.9549 245.91 262.40
8 0.9805 5 0.8892 0.3580 2.8091 -122.4722 254.94 271.44
9 0.5778 6 0.0717 0.9764 0.2340 -114.8497 239.70 256.19
10 0.5673 1 0.8930 0.0620 0.0899 -120.9251 251.85 268.34
11 0.7311 1 0.7657 0.4901 0.0214 -113.8062 237.61 254.10
12 0.9190 6 0.4244 0.7800 1.7001 -117.8819 245.76 262.26
