SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
6 1 1 0.4850 0 1 0 0.000 4.000
6 2 1 0.5098 1 1 1 0.025 4.025
6 3 1 0.5098 1 0 0 0.000 4.025
6 4 1 0.4850 0 1 0 0.000 4.025
6 5 1 0.4850 0 1 0 0.000 4.025
6 6 1 0.4850 0 0 1 0.025 4.050
6 7 1 0.5098 1 0 0 0.000 4.050
6 8 1 0.5098 1 0 0 0.000 4.050
6 9 1 0.4850 0 0 1 0.025 4.075
6 10 1 0.4850 0 0 1 0.025 4.100
6 11 1 0.4850 0 0 1 0.025 4.125
6 12 1 0.5098 1 1 1 0.025 4.150
6 13 1 0.4850 0 1 0 0.000 4.150
6 14 1 0.4850 0 0 1 0.025 4.175
6 15 1 0.4850 0 0 1 0.025 4.200
6 16 1 0.4850 0 0 1 0.025 4.225
6 17 1 0.5098 1 1 1 0.025 4.250
6 18 1 0.5098 1 1 1 0.025 4.275
6 19 1 0.4850 0 1 0 0.000 4.275
6 20 1 0.4850 0 0 1 0.025 4.300
6 21 1 0.4850 0 0 1 0.025 4.325
6 22 1 0.4850 0 0 1 0.025 4.350
6 23 1 0.5098 1 0 0 0.000 4.350
6 24 1 0.5098 1 1 1 0.025 4.375
6 25 1 0.5098 1 1 1 0.025 4.400
6 26 1 0.5098 1 1 1 0.025 4.425
6 27 1 0.4850 0 0 1 0.025 4.450
6 28 1 0.5098 1 1 1 0.025 4.475
6 29 1 0.5098 1 1 1 0.025 4.500
6 30 1 0.4850 0 0 1 0.025 4.525
6 31 1 0.4850 0 0 1 0.025 4.550
6 32 1 0.4850 0 0 1 0.025 4.575
6 33 1 0.5098 1 0 0 0.000 4.575
6 34 1 0.4850 0 0 1 0.025 4.600
6 35 1 0.4850 0 0 1 0.025 4.625
6 36 1 0.4850 0 1 0 0.000 4.625
6 37 1 0.4850 0 0 1 0.025 4.650
6 38 1 0.5098 1 1 1 0.025 4.675
6 39 1 0.5098 1 1 1 0.025 4.700
6 40 1 0.5098 1 1 1 0.025 4.725
6 41 1 0.5098 1 1 1 0.025 4.750
6 42 1 0.5098 1 1 1 0.025 4.775
6 43 1 0.4850 0 1 0 0.000 4.775
6 44 1 0.5098 1 0 0 0.000 4.775
6 45 1 0.4850 0 0 1 0.025 4.800
6 46 1 0.5098 1 0 0 0.000 4.800
6 47 1 0.5098 1 1 1 0.025 4.825
6 48 1 0.5098 1 1 1 0.025 4.850
6 49 1 0.5098 1 1 1 0.025 4.875
6 50 1 0.5098 1 1 1 0.025 4.900
6 51 1 0.4850 0 0 1 0.025 4.925
6 52 1 0.4850 0 0 1 0.025 4.950
6 53 1 0.5098 1 1 1 0.025 4.975
6 54 1 0.4850 0 1 0 0.000 4.975
6 55 1 0.4850 0 0 1 0.025 5.000
6 56 1 0.5098 1 0 0 0.000 5.000
6 57 1 0.5098 1 1 1 0.025 5.025
6 58 1 0.4850 0 1 0 0.000 5.025
6 59 1 0.5098 1 0 0 0.000 5.025
6 60 1 0.5098 1 1 1 0.025 5.050
6 61 1 0.4850 0 1 0 0.000 5.050
6 62 1 0.4850 0 0 1 0.025 5.075
6 63 1 0.5098 1 0 0 0.000 5.075
6 64 1 0.4850 0 1 0 0.000 5.075
6 65 1 0.5098 1 1 1 0.025 5.100
6 66 1 0.5098 1 0 0 0.000 5.100
6 67 1 0.5098 1 1 1 0.025 5.125
6 68 1 0.5098 1 0 0 0.000 5.125
6 69 1 0.4850 0 1 0 0.000 5.125
6 70 1 0.4850 0 0 1 0.025 5.150
6 71 1 0.5098 1 0 0 0.000 5.150
6 72 1 0.5098 1 0 0 0.000 5.150
6 73 1 0.4850 0 0 1 0.025 5.175
6 74 1 0.5098 1 0 0 0.000 5.175
6 75 1 0.4850 0 0 1 0.025 5.200
6 76 1 0.5098 1 0 0 0.000 5.200
6 77 1 0.4850 0 1 0 0.000 5.200
6 78 1 0.5098 1 0 0 0.000 5.200
6 79 1 0.4850 0 1 0 0.000 5.200
6 80 1 0.4850 0 0 1 0.025 5.225
6 81 1 0.5098 1 0 0 0.000 5.225
6 82 1 0.4850 0 1 0 0.000 5.225
6 83 1 0.4850 0 0 1 0.025 5.250
6 84 1 0.5098 1 1 1 0.025 5.275
6 85 1 0.5098 1 1 1 0.025 5.300
6 86 1 0.5098 1 1 1 0.025 5.325
6 87 1 0.4850 0 1 0 0.000 5.325
6 88 1 0.5098 1 0 0 0.000 5.325
6 89 1 0.4850 0 0 1 0.025 5.350
6 90 1 0.4850 0 0 1 0.025 5.375
6 91 1 0.5098 1 1 1 0.025 5.400
6 92 1 0.4850 0 1 0 0.000 5.400
6 93 1 0.5098 1 1 1 0.025 5.425
6 94 1 0.4850 0 0 1 0.025 5.450
6 95 1 0.5098 1 0 0 0.000 5.450
6 96 1 0.4850 0 0 1 0.025 5.475
6 97 1 0.5098 1 1 1 0.025 5.500
6 98 1 0.4850 0 0 1 0.025 5.525
6 99 1 0.5098 1 0 0 0.000 5.525
6 100 1 0.4850 0 0 1 0.025 5.550
6 101 0 0.5098 1 0 0 0.000 5.550
6 102 0 0.5098 1 1 1 0.025 5.575
6 103 0 0.5098 1 1 1 0.025 5.600
6 104 0 0.4850 0 0 1 0.025 5.625
6 105 0 0.4850 0 0 1 0.025 5.650
6 106 0 0.4850 0 0 1 0.025 5.675
6 107 0 0.5098 1 0 0 0.000 5.675
6 108 0 0.5098 1 1 1 0.025 5.700
6 109 0 0.4850 0 0 1 0.025 5.725
6 110 0 0.4850 0 0 1 0.025 5.750
6 111 0 0.5098 1 0 0 0.000 5.750
6 112 0 0.4850 0 1 0 0.000 5.750
6 113 0 0.4850 0 1 0 0.000 5.750
6 114 0 0.5098 1 1 1 0.025 5.775
6 115 0 0.5098 1 1 1 0.025 5.800
6 116 0 0.5098 1 0 0 0.000 5.800
6 117 0 0.5098 1 1 1 0.025 5.825
6 118 0 0.4850 0 0 1 0.025 5.850
6 119 0 0.5098 1 1 1 0.025 5.875
6 120 0 0.4850 0 1 0 0.000 5.875
6 121 0 0.5098 1 1 1 0.025 5.900
6 122 0 0.4850 0 1 0 0.000 5.900
6 123 0 0.4850 0 0 1 0.025 5.925
6 124 0 0.4850 0 0 1 0.025 5.950
6 125 0 0.4850 0 0 1 0.025 5.975
6 126 0 0.4850 0 1 0 0.000 5.975
6 127 0 0.4850 0 0 1 0.025 6.000
6 128 0 0.4850 0 0 1 0.025 6.025
6 129 0 0.5098 1 1 1 0.025 6.050
6 130 0 0.4850 0 1 0 0.000 6.050
6 131 0 0.5098 1 1 1 0.025 6.075
6 132 0 0.5098 1 1 1 0.025 6.100
6 133 0 0.4850 0 1 0 0.000 6.100
6 134 0 0.5098 1 1 1 0.025 6.125
6 135 0 0.5098 1 1 1 0.025 6.150
6 136 0 0.5098 1 1 1 0.025 6.175
6 137 0 0.5098 1 1 1 0.025 6.200
6 138 0 0.4850 0 1 0 0.000 6.200
6 139 0 0.5098 1 1 1 0.025 6.225
6 140 0 0.4850 0 0 1 0.025 6.250
6 141 0 0.5098 1 1 1 0.025 6.275
6 142 0 0.4850 0 0 1 0.025 6.300
6 143 0 0.4850 0 0 1 0.025 6.325
6 144 0 0.4850 0 0 1 0.025 6.350
6 145 0 0.5098 1 1 1 0.025 6.375
6 146 0 0.4850 0 0 1 0.025 6.400
6 147 0 0.4850 0 0 1 0.025 6.425
6 148 0 0.4850 0 0 1 0.025 6.450
6 149 0 0.5098 1 0 0 0.000 6.450
6 150 0 0.4850 0 1 0 0.000 6.450
6 151 0 0.5098 1 1 1 0.025 6.475
6 152 0 0.5098 1 1 1 0.025 6.500
6 153 0 0.5098 1 1 1 0.025 6.525
6 154 0 0.5098 1 1 1 0.025 6.550
6 155 0 0.5098 1 1 1 0.025 6.575
6 156 0 0.4850 0 0 1 0.025 6.600
6 157 0 0.4850 0 0 1 0.025 6.625
6 158 0 0.4850 0 0 1 0.025 6.650
6 159 0 0.5098 1 0 0 0.000 6.650
6 160 0 0.5098 1 0 0 0.000 6.650
6 161 0 0.5098 1 1 1 0.025 6.675
6 162 0 0.5098 1 1 1 0.025 6.700
6 163 0 0.4850 0 0 1 0.025 6.725
6 164 0 0.4850 0 0 1 0.025 6.750
6 165 0 0.5098 1 1 1 0.025 6.775
6 166 0 0.4850 0 0 1 0.025 6.800
6 167 0 0.4850 0 0 1 0.025 6.825
6 168 0 0.5098 1 1 1 0.025 6.850
6 169 0 0.4850 0 0 1 0.025 6.875
6 170 0 0.4850 0 1 0 0.000 6.875
6 171 0 0.5098 1 1 1 0.025 6.900
6 172 0 0.5098 1 1 1 0.025 6.925
6 173 0 0.4850 0 0 1 0.025 6.950
6 174 0 0.4850 0 0 1 0.025 6.975
6 175 0 0.5098 1 1 1 0.025 7.000
6 176 0 0.5098 1 1 1 0.025 7.025
6 177 0 0.4850 0 0 1 0.025 7.050
6 178 0 0.5098 1 1 1 0.025 7.075
6 179 0 0.5098 1 1 1 0.025 7.100
6 180 0 0.5098 1 1 1 0.025 7.125
6 181 0 0.5098 1 1 1 0.025 7.150
6 182 0 0.4850 0 0 1 0.025 7.175
6 183 0 0.5098 1 0 0 0.000 7.175
6 184 0 0.5098 1 1 1 0.025 7.200
6 185 0 0.4850 0 0 1 0.025 7.225
6 186 0 0.5098 1 0 0 0.000 7.225
