Subj rho_fit alpha_fit T_fit LogML AIC BIC
1 0.506247 0.692451 0.665559 -127.0368 260.07 269.97
2 0.832350 0.173329 0.367959 -93.3989 192.80 202.69
3 0.973907 0.451578 3.047711 -125.2857 256.57 266.47
4 0.500261 0.350464 1.578891 -135.8128 277.63 287.52
5 0.987110 0.097718 2.219537 -120.2287 246.46 256.35
6 0.705185 0.583546 0.594549 -121.7534 249.51 259.40
7 0.728725 0.087145 0.103226 -118.3052 242.61 252.51
8 0.960995 0.053142 1.833318 -121.3144 248.63 258.52
9 0.500101 0.476551 0.876283 -127.5509 261.10 271.00
10 0.524084 0.465358 0.312523 -125.2512 256.50 266.40
11 0.915155 0.037329 0.934164 -112.0241 230.05 239.94
12 0.694947 0.763397 0.054043 -118.9246 243.85 253.74
