Subj rho_fit alpha_fit T_fit LogML AIC BIC
1 0.528457 0.734707 1.076107 -126.9522 259.90 269.80
2 0.831057 0.079630 0.173792 -93.3029 192.61 202.50
3 0.996953 0.589800 3.342265 -126.2248 258.45 268.34
4 0.539853 0.325689 1.308688 -135.9172 277.83 287.73
5 0.953091 0.079630 1.748202 -120.8183 247.64 257.53
6 0.720842 0.119324 0.083826 -122.2173 250.43 260.33
7 0.730450 0.079630 0.010785 -118.9824 243.96 253.86
8 0.998478 0.079630 2.342298 -121.5064 249.01 258.91
9 0.587435 0.998710 0.447894 -115.9654 237.93 247.83
10 0.571198 0.079630 0.107241 -125.1337 256.27 266.16
11 0.785018 0.028828 0.256805 -112.8465 231.69 241.59
12 0.961771 0.619800 2.181445 -119.4233 244.85 254.74
