SARSA,BISAW
255.49,254.56925
245.29,245.002093
280.97,282.3450065
185.08,249.6617265
168.89,174.5106862
273.97,274.7566695
94.33,247.0142695
258.29,260.8778695
267.15,288.1784695
277.09,256.1864695
284.49,294.0660695
185.89,185.4920695
278.85,290.6650695
254.6,254.8990695
175.32,218.6404695
224.89,264.8031438
286.52,293.5487077
263.29,245.4074369
286.24,293.279906
250.63,200.5532783
162.39,180.0892695
279.5,272.2400695
276.59,282.0584695
263.23,217.0246695
287.18,295.0242695
246.97,212.1294695
264.38,280.5058695
274.61,282.0130695
269.38,221.9746695
267.42,207.5890695
