SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
3 1 0 1 0 0 10 10 2029
3 2 0 0 1 0 0 10 984
3 3 0 1 0 0 0 10 1116
3 4 0 1 0 0 0 10 1016
3 5 0 0 1 0 0 10 1211
3 6 0 0 0 1 0 10 1016
3 7 0 0 1 0 0 10 1000
3 8 0 0 0 1 0 10 867
3 9 0 1 1 1 10 20 1433
3 10 0 0 1 0 0 20 1266
3 11 0 0 1 0 10 30 1316
3 12 0 1 0 0 0 30 2400
3 13 0 1 1 1 10 40 1150
3 14 0 0 0 1 10 50 883
3 15 0 0 0 1 10 60 700
3 16 0 0 0 1 10 70 766
3 17 0 0 0 1 0 70 733
3 18 0 1 0 0 0 70 1283
3 19 0 0 1 0 10 80 1383
3 20 0 1 0 0 0 80 1266
3 21 0 1 1 1 0 80 800
3 22 0 0 1 0 0 80 800
3 23 0 1 1 1 10 90 900
3 24 0 0 0 1 10 100 583
3 25 0 0 0 1 0 100 850
3 26 0 1 1 1 10 110 900
3 27 0 0 0 1 10 120 1066
3 28 0 1 1 1 0 120 950
3 29 0 0 0 1 0 120 733
3 30 0 0 1 0 10 130 583
3 31 0 1 1 1 0 130 1066
3 32 0 1 1 1 10 140 716
3 33 0 1 1 1 10 150 933
3 34 0 1 1 1 0 150 950
3 35 0 1 0 0 10 160 566
3 36 0 1 1 1 0 160 866
3 37 0 1 0 0 0 160 716
3 38 0 0 0 1 10 170 700
3 39 0 1 0 0 0 170 650
3 40 0 0 0 1 0 170 800
3 41 0 1 0 0 0 170 1366
3 42 0 1 1 1 10 180 1100
3 43 0 1 1 1 10 190 716
3 44 0 0 0 1 0 190 883
3 45 0 0 1 0 0 190 683
3 46 0 0 0 1 10 200 583
3 47 0 0 1 0 0 200 833
3 48 0 0 0 1 0 200 816
3 49 0 1 0 0 0 200 683
3 50 0 1 1 1 10 210 566
3 51 0 0 0 1 10 220 750
3 52 0 1 1 1 10 230 666
3 53 0 1 1 1 0 230 566
3 54 0 0 1 0 10 240 700
3 55 0 0 1 0 0 240 550
3 56 0 0 0 1 0 240 833
3 57 0 0 1 0 10 250 483
3 58 0 0 1 0 10 260 816
3 59 0 1 1 1 10 270 1383
3 60 0 0 1 0 0 270 950
3 61 0 1 0 0 0 270 666
3 62 0 0 0 1 10 280 650
3 63 0 1 0 0 0 280 683
3 64 0 1 1 1 10 290 750
3 65 0 1 0 0 0 290 583
3 66 0 0 0 1 0 290 633
3 67 0 1 1 1 0 290 550
3 68 0 1 0 0 0 290 716
3 69 0 0 1 0 0 290 1033
3 70 0 0 0 1 10 300 1383
3 71 0 0 0 1 10 310 1283
3 72 0 1 0 0 0 310 1866
3 73 0 0 0 1 10 320 800
3 74 0 1 1 1 0 320 666
3 75 0 1 0 0 0 320 600
3 76 0 0 0 1 0 320 1266
3 77 0 0 0 1 10 330 733
3 78 0 1 1 1 0 330 700
3 79 0 1 1 1 10 340 716
3 80 0 1 1 1 10 350 1150
3 81 0 0 0 1 10 360 683
3 82 0 1 1 1 10 370 666
3 83 0 1 1 1 10 380 700
3 84 0 1 1 1 10 390 833
3 85 0 0 0 1 0 390 566
3 86 0 0 0 1 0 390 650
3 87 0 0 0 1 10 400 566
3 88 0 1 1 1 10 410 766
3 89 0 1 1 1 0 410 683
3 90 0 0 0 1 10 420 700
3 91 0 1 1 1 10 430 600
3 92 0 1 1 1 0 430 533
3 93 0 0 0 1 0 430 916
3 94 0 0 0 1 10 440 650
3 95 0 1 1 1 0 440 600
3 96 0 0 0 1 10 450 583
3 97 0 1 1 1 10 460 600
3 98 0 1 1 1 0 460 566
3 99 0 0 1 0 0 460 683
3 100 0 0 1 0 0 460 700
3 101 1 0 1 0 10 470 866
3 102 1 1 0 0 10 480 750
3 103 1 1 0 0 10 490 1416
3 104 1 1 0 0 0 490 700
3 105 1 1 0 0 0 490 716
3 106 1 0 1 0 0 490 600
3 107 1 0 1 0 0 490 900
3 108 1 1 1 1 0 490 516
3 109 1 0 0 1 10 500 733
3 110 1 0 1 0 0 500 816
3 111 1 0 0 1 10 510 966
3 112 1 0 0 1 10 520 750
3 113 1 0 0 1 10 530 850
3 114 1 1 1 1 10 540 1466
3 115 1 1 1 1 0 540 883
3 116 1 0 0 1 10 550 800
3 117 1 0 0 1 10 560 750
3 118 1 0 1 0 0 560 1383
3 119 1 1 0 0 0 560 700
3 120 1 1 0 0 10 570 1083
3 121 1 1 0 0 10 580 750
3 122 1 0 0 1 10 590 1083
3 123 1 1 0 0 0 590 750
3 124 1 1 1 1 0 590 900
3 125 1 1 1 1 10 600 550
3 126 1 0 1 0 0 600 1100
3 127 1 1 1 1 10 610 683
3 128 1 0 1 0 0 610 1166
3 129 1 0 1 0 0 610 633
3 130 1 1 0 0 10 620 966
3 131 1 0 1 0 10 630 500
3 132 1 0 1 0 10 640 583
3 133 1 1 0 0 0 640 516
3 134 1 1 0 0 0 640 583
3 135 1 1 1 1 10 650 700
3 136 1 1 0 0 10 660 616
3 137 1 1 0 0 0 660 616
3 138 1 1 1 1 0 660 600
3 139 1 1 0 0 0 660 983
3 140 1 1 0 0 0 660 583
3 141 1 0 1 0 0 660 533
3 142 1 0 1 0 0 660 500
3 143 1 1 0 0 0 660 1350
3 144 1 1 0 0 0 660 600
3 145 1 1 1 1 10 670 900
3 146 1 1 1 1 0 670 583
3 147 1 0 1 0 10 680 783
3 148 1 0 1 0 0 680 1183
3 149 1 0 0 1 10 690 1383
3 150 1 1 1 1 10 700 850
3 151 1 1 0 0 0 700 933
