SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
30 1 1 1 0 0 0 0 2550
30 2 1 1 1 1 10 10 2450
30 3 1 0 0 1 10 20 7100
30 4 1 0 0 1 10 30 4116
30 5 1 0 0 1 10 40 2533
30 6 1 1 1 1 10 50 1583
30 7 1 0 0 1 10 60 2883
30 8 1 0 0 1 0 60 1416
30 9 1 0 1 0 10 70 1350
30 10 1 1 0 0 10 80 4333
30 11 1 0 1 0 0 80 1500
30 12 1 1 0 0 0 80 2883
30 13 1 1 1 1 0 80 1500
30 14 1 1 0 0 0 80 1616
30 15 1 1 1 1 10 90 1900
30 16 1 1 1 1 10 100 1366
30 17 1 0 0 1 10 110 1250
30 18 1 0 0 1 0 110 1083
30 19 1 0 1 0 0 110 1133
30 20 1 0 0 1 0 110 2683
30 21 1 1 1 1 10 120 7066
30 22 1 0 0 1 0 120 1733
30 23 1 0 0 1 10 130 2600
30 24 1 1 1 1 0 130 1216
30 25 1 1 1 1 10 140 3500
30 26 1 0 0 1 10 150 6266
30 27 1 0 1 0 0 150 1683
30 28 1 0 0 1 10 160 1716
30 29 1 1 1 1 10 170 1850
30 30 1 0 0 1 10 180 983
30 31 1 0 0 1 10 190 4650
30 32 1 0 0 1 0 190 3500
30 33 1 0 1 0 0 190 1300
30 34 1 1 0 0 10 200 6300
30 35 1 0 1 0 10 210 1933
30 36 1 0 1 0 0 210 1350
30 37 1 0 1 0 10 220 2050
30 38 1 1 0 0 0 220 5933
30 39 1 1 1 1 0 220 5966
30 40 1 1 0 0 10 230 2783
30 41 1 1 0 0 10 240 2650
30 42 1 0 1 0 0 240 2716
30 43 1 1 0 0 0 240 1966
30 44 1 1 0 0 10 250 4566
30 45 1 1 0 0 10 260 2450
30 46 1 1 0 0 10 270 1783
30 47 1 1 0 0 10 280 1583
30 48 1 1 0 0 10 290 1000
30 49 1 1 0 0 10 300 1183
30 50 1 0 1 0 10 310 3067
30 51 1 0 1 0 0 310 1450
30 52 1 0 0 1 10 320 3366
30 53 1 1 0 0 0 320 2533
30 54 1 1 1 1 10 330 1166
30 55 1 0 0 1 0 330 3183
30 56 1 1 0 0 0 330 1616
30 57 1 0 1 0 0 330 4366
30 58 1 1 0 0 10 340 2333
30 59 1 1 0 0 0 340 2900
30 60 1 1 0 0 10 350 866
30 61 1 1 0 0 0 350 1383
30 62 1 0 1 0 0 350 4716
30 63 1 1 0 0 0 350 1333
30 64 1 1 1 1 10 360 2466
