Subj b_fit w_fit pr_fit T_fit LogML AIC BIC
1 9 0.7329 0.9898 3.6220 -116.6880 241.38 254.57
2 9 0.3309 0.9831 7.1460 -111.9044 231.81 245.00
3 2 0.7971 0.9987 6.3355 -130.5759 269.15 282.35
4 9 0.0010 0.9998 14.2465 -114.2342 236.47 249.66

6 8 0.7944 0.3266 6.2324 -126.7817 261.56 274.76
7 6 0.1563 0.5355 4.2509 -112.9105 233.82 247.01
8 1 0.5604 0.1055 4.2238 -119.8423 247.68 260.88

11 7 0.7478 0.9606 48.3396 -136.4364 280.87 294.07
12 6 0.0449 0.9998 3.5784 -82.1494 172.30 185.49
13 6 0.5713 0.5142 8.5866 -134.7359 277.47 290.67

16 3 0.0069 0.9713 18.6069 -121.8049 251.61 264.80
17 7 0.1561 0.4377 15.5046 -136.1777 280.36 293.55
18 3 0.0005 0.9992 11.2016 -112.1071 232.21 245.41
19 1 0.8267 0.4158 14.7560 -136.0433 280.09 293.28

21 3 0.3937 0.6507 2.0650 -79.4480 166.90 180.09
22 3 0.0001 0.9922 11.2016 -125.5234 259.05 272.24
23 1 0.1136 0.8958 15.5970 -130.4326 268.87 282.06

26 9 0.0012 0.9255 7.1460 -95.4681 198.94 212.13
27 1 0.0022 0.6661 15.5970 -129.6563 267.31 280.51
28 3 0.3464 0.9998 10.2683 -130.4099 268.82 282.01
29 2 0.0017 0.7910 3.7777 -100.3907 208.78 221.97
