SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
11 1 1 1 1 1 10 10 17600
11 2 1 1 1 1 10 20 3566
11 3 1 1 0 0 0 20 2116
11 4 1 0 1 0 10 30 1533
11 5 1 1 0 0 0 30 2000
11 6 1 1 0 0 0 30 2000
11 7 1 0 1 0 0 30 1550
11 8 1 1 1 1 10 40 1783
11 9 1 0 1 0 10 50 1116
11 10 1 0 1 0 0 50 1516
11 11 1 1 1 1 0 50 2500
11 12 1 0 1 0 0 50 2433
11 13 1 1 0 0 10 60 1950
11 14 1 1 1 1 10 70 1633
11 15 1 0 1 0 0 70 2233
11 16 1 1 0 0 0 70 2166
11 17 1 0 1 0 10 80 4316
11 18 1 1 1 1 10 90 4866
11 19 1 0 1 0 0 90 2750
11 20 1 1 0 0 0 90 2683
11 21 1 0 1 0 0 90 2733
11 22 1 0 0 1 10 100 6933
11 23 1 1 0 0 0 100 3016
11 24 1 1 1 1 10 110 2433
11 25 1 1 1 1 10 120 3316
11 26 1 0 0 1 10 130 4783
11 27 1 1 0 0 0 130 4200
11 28 1 0 0 1 10 140 2616
11 29 1 1 0 0 10 150 1083
11 30 1 1 0 0 0 150 800
11 31 1 1 1 1 0 150 833
11 32 1 0 0 1 10 160 983
11 33 1 1 0 0 10 170 1700
11 34 1 1 0 0 10 180 3483
11 35 1 0 0 1 10 190 1833
11 36 1 1 1 1 0 190 1483
11 37 1 0 0 1 10 200 2666
11 38 1 0 1 0 0 200 2033
11 39 1 0 0 1 0 200 2150
11 40 1 0 0 1 10 210 1716
11 41 1 1 1 1 0 210 2683
11 42 1 0 0 1 10 220 2516
11 43 1 0 0 1 10 230 1983
11 44 1 0 1 0 0 230 3450
11 45 1 0 1 0 0 230 1566
11 46 1 1 1 1 10 240 1300
11 47 1 0 0 1 10 250 5933
11 48 1 1 0 0 0 250 2500
11 49 1 1 0 0 0 250 3016
11 50 1 0 0 1 10 260 1216
11 51 1 0 0 1 10 270 2216
11 52 1 1 0 0 0 270 1816
11 53 1 1 1 1 10 280 2083
11 54 1 0 0 1 0 280 4716
11 55 1 1 0 0 0 280 2516
11 56 1 1 0 0 0 280 2600
11 57 1 0 1 0 0 280 6650
11 58 1 1 0 0 0 280 1316
11 59 1 0 1 0 0 280 2316
11 60 1 0 1 0 0 280 1566
11 61 1 0 0 1 10 290 1200
11 62 1 1 0 0 0 290 1783
11 63 1 1 1 1 0 290 1450
11 64 1 1 0 0 10 300 2083
11 65 1 0 0 1 10 310 1933
11 66 1 0 1 0 10 320 4250
11 67 1 0 1 0 0 320 2100
11 68 1 1 0 0 10 330 2700
11 69 1 1 1 1 10 340 3433
11 70 1 1 1 1 0 340 2283
11 71 1 1 1 1 10 350 2133
11 72 1 1 0 0 0 350 2433
11 73 1 0 0 1 10 360 4633
11 74 1 0 1 0 0 360 4400
11 75 1 0 0 1 10 370 1366
11 76 1 1 0 0 0 370 1533
11 77 1 0 1 0 0 370 3083
11 78 1 0 0 1 10 380 2383
11 79 1 1 0 0 10 390 1183
11 80 1 1 0 0 10 400 1300
11 81 1 1 0 0 0 400 900
11 82 1 0 1 0 0 400 5466
11 83 1 1 1 1 10 410 1066
11 84 1 0 1 0 0 410 3466
11 85 1 0 0 1 10 420 3666
11 86 1 1 0 0 0 420 900
11 87 1 1 1 1 0 420 2216
11 88 1 0 0 1 10 430 5016
11 89 1 0 0 1 0 430 1700
11 90 1 1 0 0 10 440 1816
11 91 1 0 0 1 10 450 3583
11 92 1 1 1 1 10 460 14966
11 93 1 0 0 1 10 470 3050
11 94 1 0 0 1 10 480 2316
11 95 1 0 1 0 0 480 2933
11 96 1 0 1 0 0 480 5033
11 97 1 0 1 0 0 480 2550
11 98 1 1 1 1 0 480 1450
11 99 1 1 1 1 0 480 1783
11 100 1 0 0 1 10 490 1716
11 101 0 0 1 0 0 490 1466
11 102 0 1 1 1 10 500 1233
11 103 0 1 1 1 0 500 3666
11 104 0 0 1 0 0 500 1033
11 105 0 1 0 0 0 500 3133
11 106 0 0 0 1 0 500 2033
11 107 0 0 0 1 10 510 2150
11 108 0 0 0 1 10 520 8283
11 109 0 1 0 0 10 530 3333
11 110 0 1 1 1 10 540 1400
11 111 0 1 1 1 10 550 916
11 112 0 0 0 1 0 550 1850
11 113 0 0 1 0 0 550 1666
11 114 0 1 0 0 0 550 3583
11 115 0 1 0 0 0 550 2566
11 116 0 1 0 0 0 550 983
11 117 0 1 0 0 0 550 2683
11 118 0 1 0 0 0 550 3900
11 119 0 1 1 1 10 560 2366
11 120 0 0 1 0 0 560 1100
11 121 0 1 1 1 10 570 1916
11 122 0 0 1 0 10 580 900
11 123 0 0 0 1 10 590 2300
11 124 0 0 0 1 0 590 783
11 125 0 1 1 1 10 600 1583
11 126 0 1 0 0 0 600 10200
11 127 0 1 1 1 10 610 2066
11 128 0 1 1 1 10 620 1150
11 129 0 1 0 0 10 630 1950
11 130 0 1 0 0 0 630 2050
11 131 0 0 1 0 10 640 2283
11 132 0 0 1 0 0 640 2366
11 133 0 1 0 0 10 650 3833
11 134 0 0 0 1 10 660 1433
11 135 0 0 1 0 0 660 1516
11 136 0 0 0 1 10 670 2950
11 137 0 0 0 1 10 680 2716
11 138 0 1 0 0 0 680 1383
11 139 0 1 1 1 0 680 1933
11 140 0 1 0 0 0 680 4950
11 141 0 0 1 0 10 690 1883
11 142 0 1 1 1 0 690 1300
11 143 0 0 1 0 0 690 2833
11 144 0 0 1 0 0 690 983
11 145 0 0 0 1 0 690 4316
11 146 0 1 0 0 0 690 1483
11 147 0 0 0 1 0 690 8200
11 148 0 0 1 0 0 690 1866
11 149 0 1 1 1 10 700 1966
11 150 0 1 1 1 10 710 1167
11 151 0 1 1 1 0 710 4267
11 152 0 0 1 0 10 720 2733
11 153 0 0 1 0 10 730 3650
11 154 0 0 1 0 0 730 3516
11 155 0 1 0 0 0 730 2283
11 156 0 1 1 1 10 740 1250
11 157 0 0 1 0 10 750 1000
11 158 0 0 1 0 0 750 1100
11 159 0 1 1 1 10 760 2600
11 160 0 0 0 1 10 770 5950
11 161 0 1 1 1 0 770 2616
11 162 0 1 1 1 0 770 1616
11 163 0 0 1 0 0 770 1066
11 164 0 1 0 0 0 770 2633
11 165 0 0 1 0 0 770 2600
11 166 0 1 0 0 10 780 800
11 167 0 0 1 0 10 790 1866
11 168 0 1 0 0 10 800 1166
11 169 0 1 0 0 10 810 1950
11 170 0 0 1 0 10 820 1783
11 171 0 1 1 1 10 830 2866
