SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
27 1 1 0 1 0 0 0 1629
27 2 1 1 1 1 10 10 1349
27 3 1 0 0 1 0 10 1117
27 4 1 0 0 1 10 20 3032
27 5 1 0 0 1 0 20 827
27 6 1 0 1 0 0 20 1017
27 7 1 1 1 1 10 30 3233
27 8 1 0 1 0 0 30 2583
27 9 1 1 1 1 10 40 2166
27 10 1 0 0 1 10 50 1466
27 11 1 0 1 0 0 50 1766
27 12 1 1 1 1 10 60 3766
27 13 1 1 1 1 10 70 1400
27 14 1 1 1 1 0 70 1683
27 15 1 1 0 0 0 70 1000
27 16 1 0 0 1 10 80 2766
27 17 1 1 1 1 10 90 1433
27 18 1 0 0 1 10 100 1333
27 19 1 0 0 1 10 110 1233
27 20 1 0 0 1 10 120 967
27 21 1 1 1 1 0 120 1000
27 22 1 1 0 0 0 120 900
27 23 1 1 1 1 0 120 1133
27 24 1 1 0 0 10 130 2300
27 25 1 0 1 0 0 130 3350
27 26 1 0 0 1 10 140 550
27 27 1 0 0 1 0 140 1800
27 28 1 0 1 0 0 140 733
27 29 1 0 0 1 10 150 1483
27 30 1 1 1 1 10 160 2316
27 31 1 0 1 0 0 160 3466
27 32 1 0 0 1 0 160 1400
27 33 1 1 0 0 0 160 1266
27 34 1 0 0 1 10 170 2483
27 35 1 0 0 1 10 180 1000
27 36 1 1 1 1 10 190 1483
27 37 1 0 0 1 10 200 2566
27 38 1 1 1 1 10 210 833
27 39 1 1 1 1 10 220 1000
27 40 1 1 1 1 10 230 1466
27 41 1 1 1 1 0 230 900
27 42 1 1 0 0 10 240 700
27 43 1 1 0 0 0 240 1633
27 44 1 0 0 1 0 240 1100
27 45 1 0 1 0 10 250 1216
27 46 1 1 0 0 10 260 3183
27 47 1 1 0 0 0 260 2016
27 48 1 1 1 1 0 260 716
27 49 1 1 0 0 0 260 766
27 50 1 1 1 1 0 260 883
27 51 1 0 0 1 10 270 1383
27 52 1 0 0 1 10 280 833
27 53 1 0 0 1 0 280 1150
27 54 1 0 1 0 0 280 650
27 55 1 0 1 0 10 290 800
27 56 1 0 0 1 10 300 1116
27 57 1 1 1 1 0 300 1200
27 58 1 1 0 0 10 310 816
27 59 1 0 1 0 10 320 1500
27 60 1 0 1 0 0 320 1983
27 61 1 1 1 1 10 330 3150
27 62 1 1 1 1 10 340 1783
27 63 1 1 1 1 10 350 2083
27 64 1 0 0 1 10 360 1166
27 65 1 0 1 0 10 370 2233
27 66 1 0 1 0 0 370 883
27 67 1 0 0 1 10 380 733
27 68 1 1 1 1 10 390 1616
27 69 1 0 0 1 10 400 1016
27 70 1 1 1 1 10 410 933
27 71 1 1 1 1 10 420 1483
27 72 1 1 1 1 10 430 916
27 73 1 1 1 1 0 430 1166
27 74 1 1 0 0 0 430 866
27 75 1 0 0 1 10 440 1383
27 76 1 1 1 1 10 450 1566
27 77 1 1 1 1 10 460 966
27 78 1 0 0 1 0 460 883
27 79 1 0 1 0 10 470 733
27 80 1 1 0 0 0 470 1016
27 81 1 0 0 1 0 470 2166
27 82 1 1 0 0 10 480 1416
27 83 1 1 0 0 10 490 716
27 84 1 1 0 0 0 490 700
27 85 1 1 1 1 10 500 1550
27 86 1 1 0 0 0 500 1300
27 87 1 1 1 1 10 510 833
27 88 1 0 0 1 0 510 2450
27 89 1 1 0 0 10 520 2516
27 90 1 0 1 0 0 520 1083
27 91 1 0 0 1 10 530 866
27 92 1 0 0 1 10 540 1050
27 93 1 1 1 1 0 540 5300
27 94 1 1 1 1 10 550 800
27 95 1 0 0 1 10 560 1383
27 96 1 0 0 1 0 560 1166
27 97 1 0 1 0 0 560 916
