Subj alpha_fit T_fit LogML AIC BIC
1 0.511448 6.588403 -122.45 248.89 255.49
2 0.664799 6.588403 -117.35 238.70 245.29
3 0.664799 14.266377 -135.19 274.37 280.97
4 0.308426 2.777307 -87.24 178.49 185.08
5 0.291005 1.981619 -79.15 162.30 168.89
6 0.322071 8.123998 -131.69 267.38 273.97
7 0.215027 1.244673 -41.87 87.73 94.33
8 0.664799 6.588403 -123.85 251.69 258.29
9 0.296756 6.972302 -128.27 260.55 267.15
10 0.332457 17.337566 -133.25 270.50 277.09
11 0.002687 1.084775 -136.95 277.89 284.49
12 0.664799 3.133315 -87.65 179.29 185.89
13 0.332457 17.337566 -134.13 272.26 278.85
14 0.664799 6.588403 -122.00 248.00 254.60
15 0.261339 2.485486 -82.36 168.72 175.32
16 0.392175 5.052809 -107.15 218.30 224.89
17 0.332457 17.337566 -137.96 279.93 286.52
18 0.332457 17.337566 -126.35 256.69 263.29
19 0.332457 17.337566 -137.82 279.64 286.24
20 0.332457 17.337566 -120.01 244.03 250.63
21 0.424275 2.485486 -75.90 155.79 162.39
22 0.332457 17.337566 -134.45 272.90 279.50
23 0.332457 17.337566 -133.00 269.99 276.59
24 0.332457 17.337566 -126.32 256.64 263.23
25 0.034281 66.476595 -138.29 280.58 287.18
26 0.332457 17.337566 -118.19 240.38 246.97
27 0.489540 6.588403 -126.89 257.78 264.38
28 0.322071 8.123998 -132.01 268.01 274.61
29 0.332457 17.337566 -129.39 262.78 269.38
30 0.332457 17.337566 -128.41 260.82 267.42
