SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
15 1 1 0.4943 0 1 0 0 0 1283
15 2 1 0.4943 0 0 1 10 10 1050
15 3 1 0.4943 0 0 1 10 20 733
15 4 1 0.5208 1 0 0 0 20 700
15 5 1 0.4943 0 0 1 10 30 750
15 6 1 0.5208 1 0 0 0 30 583
15 7 1 0.4943 0 0 1 10 40 516
15 8 1 0.5208 1 0 0 0 40 783
15 9 1 0.4943 0 0 1 10 50 833
15 10 1 0.5208 1 0 0 0 50 1700
15 11 1 0.5208 1 0 0 0 50 783
15 12 1 0.4943 0 0 1 10 60 550
15 13 1 0.4943 0 0 1 10 70 1116
15 14 1 0.5208 1 1 1 10 80 966
15 15 1 0.4943 0 0 1 10 90 816
15 16 1 0.5208 1 1 1 10 100 1033
15 17 1 0.5208 1 0 0 0 100 1050
15 18 1 0.5208 1 0 0 0 100 600
15 19 1 0.5208 1 1 1 10 110 1116
15 20 1 0.5208 1 1 1 10 120 550
15 21 1 0.4943 0 1 0 0 120 817
15 22 1 0.5208 1 0 0 0 120 650
15 23 1 0.5208 1 0 0 0 120 933
15 24 1 0.5208 1 0 0 0 120 733
15 25 1 0.5208 1 1 1 10 130 800
15 26 1 0.4943 0 1 0 0 130 883
15 27 1 0.5208 1 0 0 0 130 850
15 28 1 0.5208 1 1 1 10 140 983
15 29 1 0.4943 0 1 0 0 140 800
15 30 1 0.5208 1 1 1 10 150 800
15 31 1 0.5208 1 0 0 0 150 700
15 32 1 0.5208 1 0 0 0 150 1150
15 33 1 0.5208 1 1 1 10 160 1166
15 34 1 0.4943 0 1 0 0 160 566
15 35 1 0.5208 1 1 1 10 170 1300
15 36 1 0.5208 1 0 0 0 170 916
15 37 1 0.4943 0 1 0 0 170 2033
15 38 1 0.4943 0 1 0 0 170 950
15 39 1 0.5208 1 0 0 0 170 1066
15 40 1 0.5208 1 0 0 0 170 850
15 41 1 0.4943 0 1 0 0 170 650
15 42 1 0.4943 0 1 0 0 170 1816
15 43 1 0.5208 1 1 1 10 180 2133
15 44 1 0.4943 0 0 1 10 190 666
15 45 1 0.4943 0 0 1 10 200 2133
15 46 1 0.4943 0 0 1 10 210 2016
15 47 1 0.4943 0 0 1 10 220 1083
15 48 1 0.5208 1 0 0 0 220 900
15 49 1 0.5208 1 0 0 0 220 916
15 50 1 0.4943 0 1 0 0 220 1000
15 51 1 0.4943 0 1 0 0 220 1266
15 52 1 0.4943 0 0 1 10 230 550
15 53 1 0.4943 0 0 1 10 240 600
15 54 1 0.4943 0 0 1 10 250 716
15 55 1 0.4943 0 0 1 10 260 566
15 56 1 0.4943 0 0 1 10 270 1183
15 57 1 0.4943 0 0 1 10 280 583
15 58 1 0.5208 1 0 0 0 280 1450
15 59 1 0.5208 1 1 1 10 290 916
15 60 1 0.5208 1 1 1 10 300 1416
15 61 1 0.5208 1 1 1 10 310 1100
15 62 1 0.5208 1 0 0 0 310 616
15 63 1 0.5208 1 1 1 10 320 716
15 64 1 0.4943 0 1 0 0 320 483
15 65 1 0.4943 0 1 0 0 320 950
15 66 1 0.4943 0 0 1 10 330 500
15 67 1 0.4943 0 0 1 10 340 466
15 68 1 0.4943 0 0 1 10 350 533
15 69 1 0.5208 1 0 0 0 350 600
15 70 1 0.4943 0 0 1 10 360 783
15 71 1 0.4943 0 1 0 0 360 950
15 72 1 0.5208 1 1 1 10 370 1683
15 73 1 0.5208 1 0 0 0 370 666
15 74 1 0.4943 0 1 0 0 370 683
15 75 1 0.4943 0 1 0 0 370 3033
15 76 1 0.5208 1 0 0 0 370 550
15 77 1 0.4943 0 0 1 10 380 566
15 78 1 0.5208 1 0 0 0 380 666
15 79 1 0.4943 0 1 0 0 380 833
15 80 1 0.4943 0 0 1 10 390 983
15 81 1 0.5208 1 1 1 10 400 800
15 82 1 0.4943 0 1 0 0 400 816
15 83 1 0.5208 1 1 1 10 410 933
15 84 1 0.4943 0 1 0 0 410 816
15 85 1 0.5208 1 0 0 0 410 1116
15 86 1 0.5208 1 1 1 10 420 1183
15 87 1 0.5208 1 1 1 10 430 816
15 88 1 0.4943 0 1 0 0 430 616
15 89 1 0.4943 0 1 0 0 430 1033
15 90 1 0.4943 0 0 1 10 440 1266
15 91 1 0.5208 1 1 1 10 450 1083
15 92 1 0.4943 0 1 0 0 450 650
15 93 1 0.5208 1 0 0 0 450 733
15 94 1 0.5208 1 1 1 10 460 933
15 95 1 0.5208 1 0 0 0 460 783
15 96 1 0.5208 1 0 0 0 460 1200
15 97 1 0.4943 0 1 0 0 460 750
15 98 1 0.4943 0 0 1 10 470 883
15 99 1 0.5208 1 0 0 0 470 2683
15 100 1 0.4943 0 0 1 10 480 1200
15 101 0 0.5208 1 0 0 0 480 783
15 102 0 0.5208 1 0 0 0 480 583
15 103 0 0.4943 0 1 0 0 480 733
15 104 0 0.5208 1 0 0 0 480 783
15 105 0 0.5208 1 1 1 10 490 966
15 106 0 0.4943 0 1 0 0 490 566
15 107 0 0.5208 1 0 0 0 490 950
15 108 0 0.4943 0 1 0 0 490 983
15 109 0 0.4943 0 0 1 10 500 650
15 110 0 0.5208 1 0 0 0 500 550
15 111 0 0.5208 1 0 0 0 500 700
15 112 0 0.4943 0 1 0 0 500 650
15 113 0 0.4943 0 1 0 0 500 1000
15 114 0 0.5208 1 0 0 0 500 600
15 115 0 0.5208 1 0 0 0 500 1216
15 116 0 0.4943 0 0 1 10 510 1016
15 117 0 0.4943 0 1 0 0 510 666
15 118 0 0.4943 0 0 1 10 520 600
15 119 0 0.5208 1 0 0 0 520 566
15 120 0 0.4943 0 1 0 0 520 683
15 121 0 0.5208 1 1 1 10 530 800
15 122 0 0.5208 1 0 0 0 530 666
15 123 0 0.4943 0 1 0 0 530 1200
15 124 0 0.4943 0 0 1 10 540 833
15 125 0 0.4943 0 0 1 10 550 583
15 126 0 0.5208 1 0 0 0 550 566
15 127 0 0.4943 0 1 0 0 550 666
15 128 0 0.5208 1 0 0 0 550 650
15 129 0 0.4943 0 1 0 0 550 883
15 130 0 0.5208 1 0 0 0 550 2133
15 131 0 0.4943 0 1 0 0 550 983
15 132 0 0.4943 0 0 1 10 560 1366
15 133 0 0.4943 0 0 1 10 570 533
15 134 0 0.5208 1 1 1 10 580 816
15 135 0 0.5208 1 0 0 0 580 750
15 136 0 0.5208 1 0 0 0 580 566
15 137 0 0.5208 1 0 0 0 580 683
15 138 0 0.5208 1 1 1 10 590 650
15 139 0 0.5208 1 1 1 10 600 550
15 140 0 0.4943 0 1 0 0 600 666
15 141 0 0.4943 0 0 1 10 610 566
15 142 0 0.4943 0 0 1 10 620 500
15 143 0 0.5208 1 0 0 0 620 550
15 144 0 0.5208 1 0 0 0 620 1050
15 145 0 0.5208 1 1 1 10 630 1100
15 146 0 0.4943 0 1 0 0 630 666
15 147 0 0.4943 0 0 1 10 640 866
15 148 0 0.5208 1 1 1 10 650 650
15 149 0 0.4943 0 0 1 10 660 900
15 150 0 0.4943 0 0 1 10 670 1066
15 151 0 0.5208 1 1 1 10 680 1066
15 152 0 0.5208 1 1 1 10 690 2650
15 153 0 0.4943 0 0 1 10 700 1200
15 154 0 0.5208 1 1 1 10 710 1050
15 155 0 0.4943 0 0 1 10 720 666
15 156 0 0.5208 1 0 0 0 720 983
15 157 0 0.4943 0 0 1 10 730 733
15 158 0 0.4943 0 0 1 10 740 633
15 159 0 0.5208 1 0 0 0 740 533
15 160 0 0.5208 1 0 0 0 740 1033
15 161 0 0.5208 1 0 0 0 740 883
15 162 0 0.5208 1 1 1 10 750 916
15 163 0 0.5208 1 1 1 10 760 533
15 164 0 0.4943 0 1 0 0 760 716
15 165 0 0.4943 0 1 0 0 760 800
15 166 0 0.4943 0 0 1 10 770 566
15 167 0 0.4943 0 0 1 10 780 766
15 168 0 0.5208 1 0 0 0 780 483
15 169 0 0.4943 0 1 0 0 780 650
15 170 0 0.4943 0 0 1 10 790 650
15 171 0 0.4943 0 0 1 10 800 600
15 172 0 0.5208 1 0 0 0 800 550
15 173 0 0.4943 0 0 1 10 810 1300
15 174 0 0.5208 1 1 1 10 820 750
15 175 0 0.5208 1 1 1 10 830 500
15 176 0 0.5208 1 0 0 0 830 450
15 177 0 0.4943 0 1 0 0 830 633
15 178 0 0.5208 1 0 0 0 830 633
15 179 0 0.4943 0 1 0 0 830 533
15 180 0 0.5208 1 0 0 0 830 950
15 181 0 0.4943 0 1 0 0 830 800
15 182 0 0.4943 0 0 1 10 840 933
15 183 0 0.5208 1 0 0 0 840 533
15 184 0 0.5208 1 0 0 0 840 1000
15 185 0 0.5208 1 1 1 10 850 616
15 186 0 0.4943 0 1 0 0 850 616
15 187 0 0.5208 1 1 1 10 860 600
15 188 0 0.5208 1 0 0 0 860 550
15 189 0 0.5208 1 1 1 10 870 966
15 190 0 0.5208 1 1 1 10 880 666
15 191 0 0.5208 1 0 0 0 880 766
15 192 0 0.4943 0 0 1 10 890 783
15 193 0 0.4943 0 1 0 0 890 1016
15 194 0 0.4943 0 0 1 10 900 683
15 195 0 0.4943 0 0 1 10 910 750
15 196 0 0.4943 0 0 1 10 920 483
15 197 0 0.4943 0 0 1 10 930 533
15 198 0 0.5208 1 0 0 0 930 783
15 199 0 0.4943 0 1 0 0 930 550
15 200 0 0.4943 0 0 1 10 940 1266
