Subj b_fit w_fit pr_fit T_fit LogML AIC BIC
3 10 0.9994 0.2789 2.6878 -134.78 277.57 290.76
4 2 0.2489 0.1273 0.0782 -132.82 273.64 286.83
5 10 0.3328 0.1104 0.0159 -116.73 241.46 254.66
6 2 0.7208 0.0430 4.2725 -136.51 281.03 294.22
7 10 0.3341 0.0266 0.0419 -120.29 248.58 261.78
8 10 0.0034 0.3852 0.0376 -126.51 261.03 274.22
9 2 0.6036 0.2524 0.1177 -135.28 278.56 291.75
10 7 0.6640 0.1559 0.0003 -127.24 262.48 275.68
11 2 0.9402 0.2489 0.6273 -124.66 257.31 270.51
12 10 0.4035 0.1296 0.0107 -112.32 232.64 245.84
13 10 0.0815 0.1875 0.9041 -131.13 270.25 283.45
14 2 0.3195 0.8314 0.0080 -136.81 281.62 294.82
15 4 0.9193 0.0677 19.3403 -137.95 283.89 297.09
16 10 0.0021 0.2872 0.4632 -122.83 253.67 266.86
17 9 0.0021 0.2418 0.3949 -128.50 265.01 278.20
18 10 0.3893 0.0804 0.0840 -103.68 215.35 228.54
19 10 0.4379 0.1140 0.2548 -126.21 260.42 273.62
20 9 0.3891 0.4722 0.0295 -134.49 276.98 290.18
21 7 0.8010 0.0514 0.1580 -126.29 260.58 273.78
22 10 0.4379 0.0895 0.0118 -113.14 234.29 247.48
23 10 0.4718 0.1227 0.0480 -115.95 239.91 253.10
24 7 0.9972 0.1896 0.0123 -124.17 256.34 269.54
25 10 0.7953 0.8983 0.0395 -122.45 252.90 266.09
26 10 0.5223 0.0322 0.1283 -122.18 252.36 265.56
27 9 0.8030 0.4391 0.1548 -126.06 260.12 273.31
28 10 0.3397 0.0854 0.3502 -121.73 251.45 264.64
29 2 0.7936 0.3862 0.1583 -133.76 275.52 288.71
30 1 0.8085 0.4253 0.0024 -119.49 246.98 260.17
31 6 0.0021 0.5934 3.1559 -135.93 279.86 293.05
32 7 0.3522 0.3101 0.1089 -122.71 253.42 266.61
33 6 0.6852 0.7482 0.1375 -125.21 258.41 271.61
