SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
33 1 1 0.4929 0 1 0 0 0 2483
33 2 1 0.5174 1 0 0 0 0 616
33 3 1 0.5174 1 1 1 10 10 2600
33 4 1 0.4929 0 1 0 0 10 516
33 5 1 0.5174 1 0 0 0 10 1233
33 6 1 0.5174 1 1 1 10 20 4083
33 7 1 0.5174 1 0 0 0 20 2333
33 8 1 0.4929 0 1 0 0 20 616
33 9 1 0.4929 0 0 1 10 30 2516
33 10 1 0.4929 0 1 0 0 30 1533
33 11 1 0.5174 1 0 0 0 30 1516
33 12 1 0.5174 1 1 1 10 40 1666
33 13 1 0.4929 0 1 0 0 40 3450
33 14 1 0.4929 0 1 0 0 40 1683
33 15 1 0.5174 1 1 1 10 50 1283
33 16 1 0.5174 1 1 1 10 60 966
33 17 1 0.4929 0 0 1 10 70 1133
33 18 1 0.5174 1 0 0 0 70 1683
33 19 1 0.4929 0 0 1 10 80 1483
33 20 1 0.5174 1 1 1 10 90 1166
33 21 1 0.5174 1 1 1 10 100 2466
33 22 1 0.4929 0 0 1 10 110 1450
33 23 1 0.4929 0 0 1 10 120 1050
33 24 1 0.4929 0 0 1 10 130 1983
33 25 1 0.4929 0 0 1 10 140 1250
33 26 1 0.4929 0 0 1 10 150 1233
33 27 1 0.5174 1 1 1 10 160 1216
33 28 1 0.4929 0 0 1 10 170 1216
33 29 1 0.5174 1 1 1 10 180 1350
33 30 1 0.5174 1 1 1 10 190 3366
33 31 1 0.5174 1 0 0 0 190 2633
33 32 1 0.5174 1 1 1 10 200 1950
33 33 1 0.4929 0 0 1 10 210 1700
33 34 1 0.4929 0 0 1 10 220 616
33 35 1 0.4929 0 0 1 10 230 983
33 36 1 0.4929 0 0 1 10 240 816
33 37 1 0.5174 1 0 0 0 240 2233
33 38 1 0.4929 0 0 1 10 250 783
33 39 1 0.4929 0 0 1 10 260 1216
33 40 1 0.5174 1 1 1 10 270 783
33 41 1 0.5174 1 1 1 10 280 816
33 42 1 0.4929 0 1 0 0 280 883
33 43 1 0.4929 0 0 1 10 290 1166
33 44 1 0.4929 0 0 1 10 300 1650
33 45 1 0.5174 1 0 0 0 300 1566
33 46 1 0.4929 0 0 1 10 310 650
33 47 1 0.5174 1 1 1 10 320 1116
33 48 1 0.5174 1 1 1 10 330 1250
33 49 1 0.4929 0 0 1 10 340 1466
33 50 1 0.5174 1 0 0 0 340 783
33 51 1 0.4929 0 0 1 10 350 1300
33 52 1 0.4929 0 1 0 0 350 2050
33 53 1 0.4929 0 0 1 10 360 1133
33 54 1 0.5174 1 1 1 10 370 2217
33 55 1 0.5174 1 1 1 10 380 1450
33 56 1 0.4929 0 0 1 10 390 2433
33 57 1 0.5174 1 1 1 10 400 1266
33 58 1 0.4929 0 1 0 0 400 1516
33 59 1 0.5174 1 1 1 10 410 1216
33 60 1 0.4929 0 0 1 10 420 1900
33 61 1 0.5174 1 1 1 10 430 983
33 62 1 0.4929 0 1 0 0 430 1433
33 63 1 0.5174 1 0 0 0 430 1850
33 64 1 0.4929 0 0 1 10 440 1216
33 65 1 0.5174 1 1 1 10 450 1666
33 66 1 0.5174 1 1 1 10 460 1716
33 67 1 0.4929 0 0 1 10 470 866
33 68 1 0.4929 0 1 0 0 470 1083
33 69 1 0.4929 0 0 1 10 480 1316
33 70 1 0.4929 0 0 1 10 490 2916
33 71 1 0.5174 1 1 1 10 500 1683
33 72 1 0.5174 1 1 1 10 510 1600
33 73 1 0.5174 1 1 1 10 520 1833
33 74 1 0.5174 1 1 1 10 530 1300
33 75 1 0.5174 1 1 1 10 540 1350
33 76 1 0.5174 1 1 1 10 550 1383
33 77 1 0.4929 0 1 0 0 550 2083
33 78 1 0.5174 1 1 1 10 560 1416
33 79 1 0.4929 0 0 1 10 570 2300
33 80 1 0.5174 1 1 1 10 580 2466
33 81 1 0.5174 1 1 1 10 590 1033
33 82 1 0.5174 1 1 1 10 600 1466
33 83 1 0.4929 0 1 0 0 600 1966
33 84 1 0.4929 0 0 1 10 610 1100
33 85 1 0.4929 0 0 1 10 620 1716
33 86 1 0.5174 1 0 0 0 620 783
33 87 1 0.4929 0 0 1 10 630 1066
33 88 1 0.5174 1 1 1 10 640 1066
33 89 1 0.5174 1 1 1 10 650 1716
33 90 1 0.5174 1 1 1 10 660 2366
33 91 1 0.4929 0 1 0 0 660 1066
33 92 1 0.5174 1 1 1 10 670 1433
33 93 1 0.4929 0 0 1 10 680 933
33 94 1 0.5174 1 1 1 10 690 1200
33 95 1 0.4929 0 1 0 0 690 1800
33 96 1 0.4929 0 0 1 10 700 1033
33 97 1 0.4929 0 0 1 10 710 1616
33 98 1 0.5174 1 1 1 10 720 2000
33 99 1 0.4929 0 1 0 0 720 966
33 100 1 0.5174 1 1 1 10 730 1083
33 101 0 0.4929 0 1 0 0 730 1750
33 102 0 0.5174 1 0 0 0 730 1733
33 103 0 0.4929 0 0 1 10 740 1133
33 104 0 0.4929 0 0 1 10 750 683
33 105 0 0.5174 1 0 0 0 750 650
33 106 0 0.5174 1 0 0 0 750 1666
33 107 0 0.4929 0 0 1 10 760 1216
