Subj alpha_fit T_fit LogML AIC BIC
3 0.077493 3.060409 -132.77 269.54 276.13
4 0.000114 0.957890 -137.74 279.48 286.08
5 0.179549 11.234678 -138.16 280.32 286.91
6 0.485142 13.619983 -136.88 277.76 284.36
7 0.775998 13.959031 -136.78 277.56 284.16
8 0.249390 14.801396 -137.92 279.84 286.43
9 0.002384 0.640223 -138.48 280.95 287.55
10 0.112044 4.770104 -133.36 270.72 277.32
11 0.149266 1.752154 -123.57 251.13 257.73
12 0.211511 3.743414 -133.04 270.07 276.67
13 0.137737 49.910353 -137.26 278.53 285.13
14 0.081427 8.423349 -137.69 279.39 285.99
15 0.171101 11.689398 -137.08 278.16 284.76
16 0.000106 66.476595 -138.17 280.35 286.94
17 0.002258 66.476595 -139.24 282.48 289.08
18 0.144556 3.824100 -132.42 268.84 275.44
19 0.129243 7.757382 -137.00 278.00 284.60
20 0.123935 19.490276 -137.96 279.92 286.52
21 0.135704 4.025839 -130.80 265.59 272.19
22 0.154850 5.703826 -134.11 272.23 278.82
23 0.141667 3.606831 -132.63 269.26 275.86
24 0.664799 2.411832 -119.43 242.87 249.46
25 0.112496 4.263625 -131.97 267.94 274.54
26 0.120175 4.243764 -135.83 275.67 282.26
27 0.123866 4.178067 -133.91 271.81 278.41
28 0.345561 66.476595 -138.60 281.20 287.80
29 0.132590 6.001233 -135.07 274.13 280.73
30 0.113679 3.491107 -132.37 268.75 275.34
31 0.000763 1.088855 -138.88 281.76 288.36
32 0.107348 9.330699 -138.27 280.54 287.13
33 0.707114 9.704987 -134.19 272.38 278.98
