SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
27 1 1 0.4860 0 1 0 0 0 3433
27 2 1 0.4860 0 0 1 10 10 933
27 3 1 0.4860 0 0 1 10 20 783
27 4 1 0.4860 0 0 1 10 30 1183
27 5 1 0.5127 1 1 1 10 40 1333
27 6 1 0.4860 0 1 0 0 40 2966
27 7 1 0.5127 1 1 1 10 50 3000
27 8 1 0.4860 0 0 1 10 60 2400
27 9 1 0.4860 0 1 0 0 60 1467
27 10 1 0.5127 1 1 1 10 70 2916
27 11 1 0.4860 0 0 1 10 80 2133
27 12 1 0.5127 1 1 1 10 90 2366
27 13 1 0.4860 0 1 0 0 90 2583
27 14 1 0.5127 1 1 1 10 100 3016
27 15 1 0.4860 0 1 0 0 100 1616
27 16 1 0.4860 0 0 1 10 110 2550
27 17 1 0.4860 0 0 1 10 120 2050
27 18 1 0.4860 0 1 0 0 120 1816
27 19 1 0.4860 0 1 0 0 120 3716
27 20 1 0.4860 0 0 1 10 130 2950
27 21 1 0.4860 0 0 1 10 140 867
27 22 1 0.5127 1 1 1 10 150 1033
27 23 1 0.5127 1 1 1 10 160 2216
27 24 1 0.4860 0 0 1 10 170 1433
27 25 1 0.5127 1 1 1 10 180 4450
27 26 1 0.5127 1 1 1 10 190 1216
27 27 1 0.4860 0 1 0 0 190 3033
27 28 1 0.4860 0 0 1 10 200 950
27 29 1 0.4860 0 0 1 10 210 716
27 30 1 0.5127 1 1 1 10 220 933
27 31 1 0.4860 0 0 1 10 230 833
27 32 1 0.4860 0 0 1 10 240 1050
27 33 1 0.5127 1 1 1 10 250 850
27 34 1 0.5127 1 1 1 10 260 800
27 35 1 0.4860 0 1 0 0 260 750
27 36 1 0.5127 1 1 1 10 270 1700
27 37 1 0.4860 0 1 0 0 270 866
27 38 1 0.5127 1 1 1 10 280 1066
27 39 1 0.4860 0 1 0 0 280 1116
27 40 1 0.5127 1 1 1 10 290 1533
27 41 1 0.5127 1 0 0 0 290 1933
27 42 1 0.5127 1 1 1 10 300 866
27 43 1 0.5127 1 0 0 0 300 900
27 44 1 0.5127 1 0 0 0 300 1016
27 45 1 0.5127 1 1 1 10 310 900
27 46 1 0.5127 1 0 0 0 310 766
27 47 1 0.4860 0 0 1 10 320 1233
27 48 1 0.5127 1 1 1 10 330 833
27 49 1 0.5127 1 1 1 10 340 800
27 50 1 0.4860 0 0 1 10 350 566
27 51 1 0.5127 1 0 0 0 350 3933
27 52 1 0.5127 1 1 1 10 360 833
27 53 1 0.4860 0 0 1 10 370 850
27 54 1 0.4860 0 0 1 10 380 800
27 55 1 0.4860 0 1 0 0 380 1666
27 56 1 0.5127 1 1 1 10 390 1166
27 57 1 0.5127 1 1 1 10 400 2300
27 58 1 0.5127 1 0 0 0 400 816
27 59 1 0.4860 0 0 1 10 410 750
27 60 1 0.5127 1 1 1 10 420 1650
27 61 1 0.5127 1 0 0 0 420 1816
27 62 1 0.5127 1 0 0 0 420 1333
27 63 1 0.5127 1 1 1 10 430 1266
27 64 1 0.4860 0 0 1 10 440 1183
27 65 1 0.4860 0 0 1 10 450 1616
27 66 1 0.5127 1 0 0 0 450 1300
27 67 1 0.4860 0 0 1 10 460 1166
27 68 1 0.4860 0 0 1 10 470 2150
27 69 1 0.5127 1 1 1 10 480 900
27 70 1 0.5127 1 1 1 10 490 1216
27 71 1 0.4860 0 0 1 10 500 2133
27 72 1 0.5127 1 1 1 10 510 916
27 73 1 0.5127 1 1 1 10 520 933
27 74 1 0.4860 0 0 1 10 530 1350
27 75 1 0.4860 0 0 1 10 540 1300
27 76 1 0.5127 1 0 0 0 540 1183
27 77 1 0.5127 1 0 0 0 540 3066
27 78 1 0.5127 1 1 1 10 550 1350
27 79 1 0.4860 0 1 0 0 550 3033
27 80 1 0.5127 1 1 1 10 560 1066
27 81 1 0.5127 1 1 1 10 570 1316
27 82 1 0.5127 1 1 1 10 580 1666
27 83 1 0.4860 0 0 1 10 590 616
27 84 1 0.4860 0 0 1 10 600 1033
27 85 1 0.4860 0 0 1 10 610 750
27 86 1 0.5127 1 0 0 0 610 633
27 87 1 0.4860 0 0 1 10 620 2616
27 88 1 0.5127 1 1 1 10 630 1133
27 89 1 0.4860 0 1 0 0 630 1100
27 90 1 0.4860 0 0 1 10 640 1050
27 91 1 0.5127 1 1 1 10 650 900
27 92 1 0.4860 0 1 0 0 650 1650
27 93 1 0.4860 0 0 1 10 660 1266
27 94 1 0.4860 0 0 1 10 670 950
27 95 1 0.4860 0 0 1 10 680 883
27 96 1 0.5127 1 1 1 10 690 750
27 97 1 0.4860 0 0 1 10 700 4466
27 98 1 0.5127 1 1 1 10 710 2333
27 99 1 0.5127 1 1 1 10 720 933
27 100 1 0.5127 1 0 0 0 720 2283
27 101 0 0.5127 1 0 0 0 720 1116
27 102 0 0.4860 0 1 0 0 720 950
27 103 0 0.5127 1 0 0 0 720 1866
27 104 0 0.5127 1 1 1 10 730 1716
27 105 0 0.5127 1 1 1 10 740 750
27 106 0 0.4860 0 1 0 0 740 700
27 107 0 0.5127 1 1 1 10 750 3700
27 108 0 0.5127 1 1 1 10 760 683
27 109 0 0.4860 0 1 0 0 760 733
27 110 0 0.4860 0 1 0 0 760 766
27 111 0 0.4860 0 1 0 0 760 700
27 112 0 0.4860 0 1 0 0 760 866
27 113 0 0.5127 1 0 0 0 760 700
27 114 0 0.4860 0 1 0 0 760 733
27 115 0 0.5127 1 0 0 0 760 1416
27 116 0 0.5127 1 1 1 10 770 1533
27 117 0 0.5127 1 1 1 10 780 733
27 118 0 0.5127 1 0 0 0 780 1066
27 119 0 0.4860 0 1 0 0 780 983
27 120 0 0.4860 0 0 1 10 790 933
27 121 0 0.4860 0 1 0 0 790 866
27 122 0 0.4860 0 0 1 10 800 3766
27 123 0 0.4860 0 0 1 10 810 3483
27 124 0 0.5127 1 1 1 10 820 850
27 125 0 0.4860 0 1 0 0 820 4166
27 126 0 0.5127 1 0 0 0 820 2500
27 127 0 0.5127 1 1 1 10 830 783
27 128 0 0.4860 0 1 0 0 830 3083
27 129 0 0.5127 1 1 1 10 840 3383
27 130 0 0.4860 0 0 1 10 850 1483
27 131 0 0.5127 1 0 0 0 850 850
27 132 0 0.4860 0 1 0 0 850 1200
27 133 0 0.5127 1 0 0 0 850 1466
27 134 0 0.4860 0 0 1 10 860 1750
