Subj alpha_fit T_fit LogML AIC BIC
3 0.003457 0.214493 -134.25 272.50 279.10
4 0.230101 6.425290 -134.95 273.90 280.50
5 0.162592 0.775653 -127.92 259.83 266.43
6 0.906991 27.522569 -137.69 279.37 285.97
7 0.142269 0.037045 -127.98 259.96 266.55
8 0.752319 0.000857 -116.07 236.14 242.74
9 0.034452 5.526865 -137.01 278.01 284.61
10 0.102326 1.333283 -127.63 259.27 265.86
11 0.022973 0.377060 -128.35 260.71 267.30
12 0.153579 0.013399 -110.35 224.70 231.30
13 0.587030 4.285025 -130.70 265.39 271.99
14 0.999380 0.750373 -113.20 230.41 237.00
15 0.976190 6.476024 -130.55 265.11 271.70
16 0.151793 3.877385 -135.48 274.96 281.56
17 0.493793 5.330310 -132.21 268.42 275.02
18 0.155420 0.014499 -108.47 220.93 227.53
19 0.122076 2.294809 -131.29 266.57 273.17
20 0.051443 2.660603 -136.35 276.69 283.29
21 0.050525 0.011061 -126.40 256.81 263.40
22 0.201626 0.114371 -113.46 230.92 237.52
23 0.151584 0.730084 -121.11 246.22 252.82
24 0.021316 0.725853 -128.60 261.20 267.80
25 0.099652 0.656508 -121.31 246.61 253.21
26 0.088646 1.067399 -128.70 261.41 268.00
27 0.035029 1.207369 -134.99 273.98 280.58
28 0.134170 2.620857 -132.60 269.20 275.80
29 0.089661 2.143469 -133.65 271.31 277.91
30 0.079181 0.016939 -117.06 238.13 244.73
31 0.971064 4.126120 -124.56 253.11 259.71
32 0.076001 1.152403 -130.29 264.59 271.18
33 0.104479 1.832393 -131.19 266.38 272.98
