SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
23 1 0 0.5209 1 1 1 10 10 1850
23 2 0 0.5209 1 1 1 10 20 1883
23 3 0 0.5209 1 0 0 0 20 983
23 4 0 0.5209 1 1 1 10 30 1883
23 5 0 0.5209 1 0 0 0 30 1250
23 6 0 0.4924 0 0 1 10 40 933
23 7 0 0.5209 1 0 0 0 40 666
23 8 0 0.4924 0 0 1 10 50 1000
23 9 0 0.5209 1 1 1 10 60 1300
23 10 0 0.4924 0 0 1 10 70 700
23 11 0 0.5209 1 0 0 0 70 883
23 12 0 0.4924 0 0 1 10 80 1216
23 13 0 0.5209 1 1 1 10 90 1016
23 14 0 0.4924 0 0 1 10 100 1000
23 15 0 0.5209 1 1 1 10 110 800
23 16 0 0.4924 0 0 1 10 120 833
23 17 0 0.4924 0 1 0 0 120 2216
23 18 0 0.4924 0 0 1 10 130 700
23 19 0 0.4924 0 0 1 10 140 750
23 20 0 0.4924 0 0 1 10 150 750
23 21 0 0.4924 0 0 1 10 160 650
23 22 0 0.4924 0 0 1 10 170 550
23 23 0 0.5209 1 1 1 10 180 650
23 24 0 0.5209 1 1 1 10 190 650
23 25 0 0.4924 0 0 1 10 200 800
23 26 0 0.4924 0 0 1 10 210 633
23 27 0 0.5209 1 1 1 10 220 1033
23 28 0 0.5209 1 1 1 10 230 933
23 29 0 0.5209 1 1 1 10 240 1033
23 30 0 0.5209 1 1 1 10 250 766
23 31 0 0.4924 0 0 1 10 260 766
23 32 0 0.5209 1 1 1 10 270 733
23 33 0 0.4924 0 1 0 0 270 933
23 34 0 0.5209 1 1 1 10 280 666
23 35 0 0.4924 0 0 1 10 290 766
23 36 0 0.4924 0 0 1 10 300 550
23 37 0 0.5209 1 1 1 10 310 1233
23 38 0 0.5209 1 1 1 10 320 833
23 39 0 0.4924 0 0 1 10 330 783
23 40 0 0.4924 0 1 0 0 330 1216
23 41 0 0.5209 1 1 1 10 340 1000
23 42 0 0.5209 1 0 0 0 340 683
23 43 0 0.5209 1 1 1 10 350 1016
23 44 0 0.5209 1 1 1 10 360 1250
23 45 0 0.5209 1 0 0 0 360 600
23 46 0 0.4924 0 0 1 10 370 1866
23 47 0 0.4924 0 0 1 10 380 700
23 48 0 0.5209 1 0 0 0 380 1733
23 49 0 0.4924 0 0 1 10 390 650
23 50 0 0.5209 1 0 0 0 390 983
23 51 0 0.4924 0 0 1 10 400 1633
23 52 0 0.4924 0 1 0 0 400 983
23 53 0 0.5209 1 1 1 10 410 2833
23 54 0 0.4924 0 0 1 10 420 1050
23 55 0 0.5209 1 1 1 10 430 833
23 56 0 0.4924 0 0 1 10 440 800
23 57 0 0.5209 1 1 1 10 450 783
23 58 0 0.5209 1 0 0 0 450 616
23 59 0 0.5209 1 1 1 10 460 1066
23 60 0 0.4924 0 0 1 10 470 683
23 61 0 0.5209 1 1 1 10 480 850
23 62 0 0.4924 0 0 1 10 490 766
23 63 0 0.5209 1 1 1 10 500 766
23 64 0 0.4924 0 0 1 10 510 800
23 65 0 0.4924 0 0 1 10 520 916
23 66 0 0.5209 1 1 1 10 530 600
23 67 0 0.4924 0 0 1 10 540 816
23 68 0 0.4924 0 0 1 10 550 816
23 69 0 0.5209 1 1 1 10 560 616
23 70 0 0.4924 0 1 0 0 560 1050
23 71 0 0.5209 1 1 1 10 570 1133
23 72 0 0.4924 0 0 1 10 580 833
23 73 0 0.5209 1 1 1 10 590 800
23 74 0 0.5209 1 1 1 10 600 733
23 75 0 0.5209 1 1 1 10 610 1550
23 76 0 0.5209 1 1 1 10 620 900
23 77 0 0.4924 0 0 1 10 630 616
23 78 0 0.4924 0 0 1 10 640 766
23 79 0 0.5209 1 1 1 10 650 850
23 80 0 0.5209 1 1 1 10 660 950
23 81 0 0.4924 0 0 1 10 670 650
23 82 0 0.4924 0 0 1 10 680 716
23 83 0 0.5209 1 1 1 10 690 633
23 84 0 0.4924 0 0 1 10 700 733
23 85 0 0.5209 1 1 1 10 710 716
23 86 0 0.4924 0 0 1 10 720 983
23 87 0 0.4924 0 0 1 10 730 666
23 88 0 0.4924 0 0 1 10 740 716
23 89 0 0.4924 0 0 1 10 750 1383
23 90 0 0.5209 1 1 1 10 760 716
23 91 0 0.5209 1 0 0 0 760 700
23 92 0 0.4924 0 0 1 10 770 850
23 93 0 0.4924 0 1 0 0 770 750
23 94 0 0.5209 1 0 0 0 770 850
23 95 0 0.4924 0 1 0 0 770 666
23 96 0 0.5209 1 1 1 10 780 716
23 97 0 0.4924 0 0 1 10 790 883
23 98 0 0.5209 1 1 1 10 800 933
23 99 0 0.4924 0 1 0 0 800 1200
23 100 0 0.4924 0 0 1 10 810 716
23 101 1 0.5209 1 0 0 0 810 600
23 102 1 0.5209 1 1 1 10 820 1100
23 103 1 0.4924 0 1 0 0 820 633
23 104 1 0.5209 1 0 0 0 820 1400
23 105 1 0.4924 0 1 0 0 820 1133
23 106 1 0.5209 1 0 0 0 820 2800
23 107 1 0.4924 0 1 0 0 820 1000
23 108 1 0.4924 0 0 1 10 830 1650
23 109 1 0.5209 1 0 0 0 830 1466
23 110 1 0.4924 0 0 1 10 840 1166
23 111 1 0.5209 1 0 0 0 840 1816
23 112 1 0.5209 1 1 1 10 850 2900
23 113 1 0.4924 0 1 0 0 850 1066
23 114 1 0.5209 1 1 1 10 860 1283
23 115 1 0.4924 0 1 0 0 860 1233
23 116 1 0.5209 1 1 1 10 870 1250
23 117 1 0.4924 0 0 1 10 880 1300
23 118 1 0.5209 1 0 0 0 880 2916
23 119 1 0.4924 0 0 1 10 890 1233
23 120 1 0.5209 1 0 0 0 890 1250
23 121 1 0.4924 0 0 1 10 900 1200
23 122 1 0.5209 1 1 1 10 910 1216
23 123 1 0.4924 0 0 1 10 920 1616
23 124 1 0.4924 0 0 1 10 930 800
23 125 1 0.4924 0 1 0 0 930 1333
23 126 1 0.5209 1 1 1 10 940 1300
23 127 1 0.5209 1 0 0 0 940 3283
23 128 1 0.5209 1 1 1 10 950 1316
23 129 1 0.4924 0 0 1 10 960 1900
23 130 1 0.5209 1 1 1 10 970 2566
23 131 1 0.4924 0 1 0 0 970 1383
23 132 1 0.5209 1 0 0 0 970 1733
23 133 1 0.4924 0 0 1 10 980 1200
23 134 1 0.5209 1 0 0 0 980 1450
23 135 1 0.4924 0 0 1 10 990 2033
23 136 1 0.5209 1 1 1 10 1000 1066
23 137 1 0.5209 1 1 1 10 1010 2500
23 138 1 0.4924 0 0 1 10 1020 1066
23 139 1 0.4924 0 0 1 10 1030 1633
23 140 1 0.4924 0 0 1 10 1040 883
23 141 1 0.5209 1 1 1 10 1050 1016
23 142 1 0.4924 0 1 0 0 1050 1416
23 143 1 0.4924 0 0 1 10 1060 1866
23 144 1 0.4924 0 0 1 10 1070 2083
23 145 1 0.4924 0 0 1 10 1080 1150
23 146 1 0.5209 1 0 0 0 1080 2483
23 147 1 0.4924 0 0 1 10 1090 1366
23 148 1 0.4924 0 0 1 10 1100 1083
23 149 1 0.5209 1 1 1 10 1110 2500
23 150 1 0.4924 0 0 1 10 1120 933
23 151 1 0.5209 1 0 0 0 1120 1083
23 152 1 0.5209 1 0 0 0 1120 1383
23 153 1 0.4924 0 1 0 0 1120 2000
23 154 1 0.5209 1 1 1 10 1130 1833
23 155 1 0.5209 1 1 1 10 1140 1266
23 156 1 0.5209 1 1 1 10 1150 1650
23 157 1 0.5209 1 1 1 10 1160 1850
23 158 1 0.4924 0 0 1 10 1170 1216
23 159 1 0.5209 1 0 0 0 1170 4550
23 160 1 0.5209 1 1 1 10 1180 1516
23 161 1 0.5209 1 1 1 10 1190 1016
23 162 1 0.5209 1 0 0 0 1190 1650
23 163 1 0.5209 1 1 1 10 1200 1183
23 164 1 0.4924 0 1 0 0 1200 1600
23 165 1 0.5209 1 1 1 10 1210 1683
23 166 1 0.4924 0 1 0 0 1210 1416
23 167 1 0.4924 0 0 1 10 1220 916
23 168 1 0.4924 0 0 1 10 1230 850
23 169 1 0.4924 0 0 1 10 1240 1433
23 170 1 0.5209 1 1 1 10 1250 1300
23 171 1 0.4924 0 1 0 0 1250 900
23 172 1 0.4924 0 1 0 0 1250 2333
23 173 1 0.4924 0 0 1 10 1260 2100
23 174 1 0.4924 0 0 1 10 1270 1083
23 175 1 0.4924 0 0 1 10 1280 1133
23 176 1 0.4924 0 0 1 10 1290 1200
23 177 1 0.5209 1 1 1 10 1300 1100
23 178 1 0.5209 1 1 1 10 1310 733
23 179 1 0.4924 0 0 1 10 1320 1900
23 180 1 0.5209 1 0 0 0 1320 1183
23 181 1 0.5209 1 0 0 0 1320 1833
23 182 1 0.4924 0 1 0 0 1320 1266
23 183 1 0.5209 1 1 1 10 1330 1833
23 184 1 0.5209 1 1 1 10 1340 1833
23 185 1 0.5209 1 1 1 10 1350 1266
23 186 1 0.4924 0 0 1 10 1360 1700
23 187 1 0.4924 0 0 1 10 1370 1033
23 188 1 0.4924 0 0 1 10 1380 1800
23 189 1 0.4924 0 1 0 0 1380 3033
23 190 1 0.5209 1 1 1 10 1390 1466
23 191 1 0.5209 1 1 1 10 1400 1516
23 192 1 0.4924 0 0 1 10 1410 933
23 193 1 0.5209 1 1 1 10 1420 1083
23 194 1 0.5209 1 0 0 0 1420 2716
23 195 1 0.5209 1 1 1 10 1430 1500
23 196 1 0.4924 0 0 1 10 1440 1000
23 197 1 0.4924 0 0 1 10 1450 966
23 198 1 0.5209 1 0 0 0 1450 1400
23 199 1 0.5209 1 1 1 10 1460 1216
