Subj rho_fit b_fit w_fit pr_fit T_fit LogML AIC BIC
3 0.7773 6 0.9816 0.5519 5.4762 -132.2097 274.42 290.91
4 0.9036 1 0.0552 0.4105 16.1777 -133.3739 276.75 293.24
5 0.9975 3 0.0539 0.1838 8.1761 -106.4159 222.83 239.32
6 0.8026 3 0.6486 0.8458 8.6572 -136.0247 282.05 298.54
7 0.9891 3 0.2137 0.1943 8.6747 -117.2503 244.50 260.99
8 0.8005 1 0.0071 0.9585 0.8682 -113.3634 236.73 253.22
9 0.8284 7 0.3647 0.1853 16.7171 -135.4300 280.86 297.35
10 0.9596 5 0.2736 0.0605 8.5328 -123.0735 256.15 272.64
11 0.7249 1 0.9387 0.5161 0.0369 -123.9127 257.83 274.32
12 0.8417 9 0.1580 0.5766 0.0778 -96.5598 203.12 219.61
13 0.7985 4 0.0270 0.9379 5.3786 -128.5132 267.03 283.52
14 0.5167 1 0.0002 0.5918 0.7563 -109.1547 228.31 244.80
15 0.5180 6 0.1903 0.8072 3.8543 -127.2506 264.50 280.99
16 0.9939 5 0.0073 0.9487 10.9390 -121.4037 252.81 269.30
17 0.9296 3 0.0197 0.7489 10.0835 -127.1366 264.27 280.76
18 0.9344 2 0.3178 0.4051 1.0424 -71.4152 152.83 169.32
19 0.9316 4 0.3934 0.3286 6.7853 -122.4927 254.99 271.48
20 0.9971 1 0.3576 0.4611 27.7873 -134.7286 279.46 295.95
21 0.8662 10 0.6618 0.1892 5.4925 -124.8655 259.73 276.22
22 0.8916 5 0.2619 0.2351 2.1509 -97.0678 204.14 220.63
23 0.9725 3 0.3971 0.3250 4.8051 -108.3100 226.62 243.11
24 0.7396 1 0.9569 0.4176 0.0922 -121.2241 252.45 268.94
25 0.7652 10 0.4241 0.0977 0.1741 -118.7936 247.59 264.08
26 0.9891 3 0.3589 0.0202 8.3206 -118.6715 247.34 263.83
27 0.9965 8 0.6811 0.9434 9.3482 -124.7212 259.44 275.93
28 0.9767 2 0.0329 0.2600 9.1740 -118.4492 246.90 263.39
29 0.7449 4 0.5758 0.9917 4.7894 -132.4626 274.93 291.42
30 0.8307 7 0.5683 0.6555 0.9185 -109.9928 229.99 246.48
31 0.5031 1 0.5326 0.6080 2.4440 -123.0370 256.07 272.57
32 0.9979 9 0.1298 0.8983 9.4369 -115.7596 241.52 258.01
33 0.8880 1 0.4008 0.7039 4.3956 -122.1037 254.21 270.70
