SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
13 1 1 0.4908 0 0 1 10 10 1033
13 2 1 0.4908 0 1 0 0 10 1016
13 3 1 0.5109 1 1 1 10 20 1150
13 4 1 0.4908 0 1 0 0 20 883
13 5 1 0.4908 0 1 0 0 20 950
13 6 1 0.5109 1 0 0 0 20 1000
13 7 1 0.4908 0 1 0 0 20 850
13 8 1 0.4908 0 0 1 10 30 1033
13 9 1 0.5109 1 0 0 0 30 1033
13 10 1 0.5109 1 0 0 0 30 1083
13 11 1 0.5109 1 1 1 10 40 900
13 12 1 0.4908 0 1 0 0 40 1166
13 13 1 0.4908 0 0 1 10 50 633
13 14 1 0.4908 0 0 1 10 60 650
13 15 1 0.4908 0 0 1 10 70 783
13 16 1 0.4908 0 0 1 10 80 700
13 17 1 0.4908 0 0 1 10 90 600
13 18 1 0.5109 1 1 1 10 100 1116
13 19 1 0.4908 0 0 1 10 110 883
13 20 1 0.4908 0 1 0 0 110 1200
13 21 1 0.4908 0 0 1 10 120 700
13 22 1 0.5109 1 1 1 10 130 783
13 23 1 0.4908 0 0 1 10 140 1083
13 24 1 0.4908 0 0 1 10 150 1033
13 25 1 0.5109 1 0 0 0 150 933
13 26 1 0.5109 1 1 1 10 160 883
13 27 1 0.5109 1 1 1 10 170 1467
13 28 1 0.5109 1 0 0 0 170 533
13 29 1 0.4908 0 0 1 10 180 866
13 30 1 0.5109 1 1 1 10 190 716
13 31 1 0.4908 0 1 0 0 190 1866
13 32 1 0.5109 1 1 1 10 200 1200
13 33 1 0.5109 1 0 0 0 200 650
13 34 1 0.4908 0 0 1 10 210 616
13 35 1 0.5109 1 0 0 0 210 1133
13 36 1 0.4908 0 0 1 10 220 833
13 37 1 0.5109 1 1 1 10 230 533
13 38 1 0.4908 0 0 1 10 240 650
13 39 1 0.5109 1 1 1 10 250 1083
13 40 1 0.4908 0 1 0 0 250 2450
13 41 1 0.5109 1 1 1 10 260 700
13 42 1 0.5109 1 1 1 10 270 933
13 43 1 0.4908 0 0 1 10 280 666
13 44 1 0.4908 0 1 0 0 280 1550
13 45 1 0.5109 1 1 1 10 290 866
13 46 1 0.4908 0 0 1 10 300 800
13 47 1 0.5109 1 0 0 0 300 750
13 48 1 0.5109 1 1 1 10 310 700
13 49 1 0.5109 1 1 1 10 320 716
13 50 1 0.4908 0 1 0 0 320 800
13 51 1 0.5109 1 0 0 0 320 650
13 52 1 0.5109 1 0 0 0 320 600
13 53 1 0.4908 0 0 1 10 330 733
13 54 1 0.4908 0 1 0 0 330 866
13 55 1 0.5109 1 1 1 10 340 716
13 56 1 0.4908 0 0 1 10 350 1050
13 57 1 0.5109 1 0 0 0 350 683
13 58 1 0.5109 1 1 1 10 360 600
13 59 1 0.4908 0 1 0 0 360 750
13 60 1 0.5109 1 1 1 10 370 966
13 61 1 0.4908 0 1 0 0 370 716
13 62 1 0.5109 1 1 1 10 380 683
13 63 1 0.4908 0 1 0 0 380 800
13 64 1 0.4908 0 1 0 0 380 700
13 65 1 0.5109 1 1 1 10 390 583
13 66 1 0.5109 1 1 1 10 400 1066
13 67 1 0.4908 0 0 1 10 410 683
13 68 1 0.4908 0 0 1 10 420 666
