Subj rho_fit alpha_fit T_fit LogML AIC BIC
3 0.671065 0.241507 4.496592 -132.4042 270.81 280.70
4 0.999890 0.458188 30.696911 -134.7589 275.52 285.41
5 0.999891 0.366728 9.642456 -113.9478 233.90 243.79
6 0.588667 0.623103 7.970271 -136.6596 279.32 289.21
7 0.999869 0.379175 10.011181 -120.3971 246.79 256.69
8 0.999887 0.282537 12.531123 -127.2033 260.41 270.30
9 0.502936 0.042577 1.885248 -137.1783 280.36 290.25
10 0.996605 0.568645 11.836595 -123.1330 252.27 262.16
11 0.727735 0.123354 1.806031 -123.4718 252.94 262.84
12 0.999893 0.312110 6.121342 -101.6454 209.29 219.19
13 0.999899 0.478331 19.841516 -131.1912 268.38 278.28
14 0.500100 0.500752 3.181281 -128.1981 262.40 272.29
15 0.500106 0.524654 5.138761 -131.2558 268.51 278.41
16 0.999860 0.235407 11.585771 -127.8735 261.75 271.64
17 0.999875 0.382947 14.265730 -130.6776 267.36 277.25
18 0.999895 0.430502 4.806510 -78.7287 163.46 173.35
19 0.999891 0.604742 11.494401 -126.1101 258.22 268.12
20 0.996973 0.111382 20.081061 -136.0877 278.18 288.07
21 0.956296 0.605202 12.461812 -125.1515 256.30 266.20
22 0.999893 0.447080 6.347915 -101.6114 209.22 219.12
23 0.999798 0.371786 7.775713 -109.9102 225.82 235.72
24 0.686770 0.680368 2.594147 -119.2334 244.47 254.36
25 0.988889 0.585913 8.668555 -115.6897 237.38 247.27
26 0.999203 0.235415 10.468936 -123.1893 252.38 262.27
27 0.998453 0.640361 11.510579 -128.1556 262.31 272.21
28 0.999896 0.502115 11.408461 -122.1435 250.29 260.18
29 0.959394 0.647467 16.620730 -132.8439 271.69 281.58
30 0.995375 0.589434 8.269687 -109.0451 224.09 233.99
31 0.500105 0.670412 2.976137 -121.2328 248.47 258.36
32 0.999899 0.234759 8.707474 -118.8151 243.63 253.53
33 0.999894 0.306896 13.429461 -126.5063 259.01 268.91
