SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
28 1 0 0.4695 0 0 1 10 10 3036
28 2 0 0.4695 0 0 1 10 20 1099
28 3 0 0.5113 1 0 0 0 20 583
28 4 0 0.5113 1 0 0 0 20 916
28 5 0 0.4695 0 1 0 0 20 1016
28 6 0 0.4695 0 1 0 0 20 2650
28 7 0 0.4695 0 0 1 10 30 1566
28 8 0 0.5113 1 1 1 10 40 1533
28 9 0 0.5113 1 1 1 10 50 800
28 10 0 0.4695 0 0 1 10 60 1166
28 11 0 0.4695 0 0 1 10 70 1300
28 12 0 0.4695 0 1 0 0 70 900
28 13 0 0.5113 1 0 0 0 70 2350
28 14 0 0.5113 1 1 1 10 80 1183
28 15 0 0.4695 0 1 0 0 80 983
28 16 0 0.4695 0 1 0 0 80 900
28 17 0 0.4695 0 0 1 10 90 1316
28 18 0 0.4695 0 0 1 10 100 1016
28 19 0 0.4695 0 0 1 10 110 1950
28 20 0 0.4695 0 0 1 10 120 1183
28 21 0 0.5113 1 1 1 10 130 766
28 22 0 0.5113 1 1 1 10 140 950
28 23 0 0.4695 0 1 0 0 140 983
28 24 0 0.5113 1 1 1 10 150 1333
28 25 0 0.5113 1 1 1 10 160 1167
28 26 0 0.5113 1 1 1 10 170 633
28 27 0 0.5113 1 1 1 10 180 733
28 28 0 0.5113 1 1 1 10 190 833
28 29 0 0.4695 0 0 1 10 200 550
28 30 0 0.4695 0 1 0 0 200 1116
28 31 0 0.5113 1 0 0 0 200 833
28 32 0 0.5113 1 1 1 10 210 833
28 33 0 0.4695 0 0 1 10 220 1100
28 34 0 0.5113 1 1 1 10 230 833
28 35 0 0.4695 0 0 1 10 240 750
28 36 0 0.5113 1 1 1 10 250 883
28 37 0 0.5113 1 0 0 0 250 1016
28 38 0 0.4695 0 0 1 10 260 1016
28 39 0 0.4695 0 1 0 0 260 800
28 40 0 0.4695 0 0 1 10 270 1250
28 41 0 0.4695 0 1 0 0 270 1050
28 42 0 0.5113 1 0 0 0 270 1266
28 43 0 0.5113 1 1 1 10 280 1416
28 44 0 0.4695 0 0 1 10 290 516
28 45 0 0.5113 1 0 0 0 290 1816
28 46 0 0.5113 1 1 1 10 300 1050
28 47 0 0.5113 1 0 0 0 300 616
28 48 0 0.5113 1 1 1 10 310 667
28 49 0 0.5113 1 0 0 0 310 1016
28 50 0 0.4695 0 0 1 10 320 1933
28 51 0 0.5113 1 1 1 10 330 2566
28 52 0 0.4695 0 0 1 10 340 1100
28 53 0 0.4695 0 0 1 10 350 933
28 54 0 0.4695 0 1 0 0 350 1033
28 55 0 0.5113 1 0 0 0 350 716
28 56 0 0.5113 1 1 1 10 360 1166
28 57 0 0.5113 1 1 1 10 370 950
28 58 0 0.5113 1 0 0 0 370 1033
28 59 0 0.5113 1 0 0 0 370 716
28 60 0 0.4695 0 0 1 10 380 1500
28 61 0 0.4695 0 0 1 10 390 616
28 62 0 0.4695 0 0 1 10 400 700
28 63 0 0.4695 0 1 0 0 400 966
28 64 0 0.4695 0 0 1 10 410 1116
28 65 0 0.4695 0 0 1 10 420 1300
28 66 0 0.5113 1 1 1 10 430 1166
28 67 0 0.5113 1 1 1 10 440 633
28 68 0 0.5113 1 1 1 10 450 750
28 69 0 0.5113 1 1 1 10 460 866
28 70 0 0.4695 0 1 0 0 460 800
28 71 0 0.4695 0 1 0 0 460 1283
28 72 0 0.4695 0 0 1 10 470 500
28 73 0 0.5113 1 1 1 10 480 616
28 74 0 0.4695 0 0 1 10 490 600
28 75 0 0.5113 1 1 1 10 500 566
28 76 0 0.4695 0 0 1 10 510 733
28 77 0 0.5113 1 1 1 10 520 1166
28 78 0 0.5113 1 1 1 10 530 866
28 79 0 0.4695 0 0 1 10 540 666
28 80 0 0.4695 0 0 1 10 550 600
28 81 0 0.4695 0 0 1 10 560 683
28 82 0 0.4695 0 0 1 10 570 700
28 83 0 0.5113 1 1 1 10 580 816
28 84 0 0.5113 1 0 0 0 580 1116
28 85 0 0.5113 1 0 0 0 580 633
28 86 0 0.4695 0 1 0 0 580 650
28 87 0 0.4695 0 0 1 10 590 666
28 88 0 0.5113 1 1 1 10 600 833
28 89 0 0.4695 0 0 1 10 610 800
28 90 0 0.5113 1 0 0 0 610 966
28 91 0 0.4695 0 0 1 10 620 816
28 92 0 0.5113 1 1 1 10 630 800
28 93 0 0.5113 1 1 1 10 640 650
28 94 0 0.4695 0 1 0 0 640 766
28 95 0 0.4695 0 0 1 10 650 666
28 96 0 0.5113 1 1 1 10 660 700
28 97 0 0.4695 0 0 1 10 670 917
28 98 0 0.5113 1 1 1 10 680 783
28 99 0 0.5113 1 0 0 0 680 766
28 100 0 0.5113 1 1 1 10 690 1183
28 101 1 0.4695 0 1 0 0 690 516
28 102 1 0.5113 1 0 0 0 690 1016
28 103 1 0.4695 0 1 0 0 690 583
28 104 1 0.4695 0 1 0 0 690 666
28 105 1 0.4695 0 1 0 0 690 716
28 106 1 0.5113 1 0 0 0 690 866
28 107 1 0.4695 0 1 0 0 690 600
