Subj rho_fit alpha_fit T_fit LogML AIC BIC
3 0.881350 0.017785 2.512562 -132.6090 271.22 281.11
4 0.851567 0.560404 11.328384 -134.0446 274.09 283.98
5 0.996156 0.594356 7.617455 -109.1020 224.20 234.10
6 0.924127 0.010876 5.042801 -137.1533 280.31 290.20
7 0.999343 0.610719 10.020380 -118.4626 242.93 252.82
8 0.771226 0.978418 1.270584 -114.1273 234.25 244.15
9 0.539853 0.032218 2.568408 -136.5856 279.17 289.07
10 0.814426 0.123953 3.009253 -125.1455 256.29 266.19
11 0.765425 0.024651 0.492169 -125.7151 257.43 267.33
12 0.973932 0.374501 5.296665 -99.7952 205.59 215.49
13 0.811913 0.622948 6.637158 -128.8010 263.60 273.50
14 0.568113 0.999994 1.701828 -109.6369 225.27 235.17
15 0.531204 0.960445 6.493978 -128.3612 262.72 272.62
16 0.999858 0.968779 10.929294 -121.5179 249.04 258.93
17 0.856265 0.997703 7.538920 -127.4645 260.93 270.82
18 0.984824 0.478355 3.751441 -74.3177 154.64 164.53
19 0.950887 0.339064 9.822628 -125.7791 257.56 267.45
20 0.970907 0.104083 18.010614 -135.6919 277.38 287.28
21 0.865795 0.051905 3.326755 -126.1011 258.20 268.10
22 0.814127 0.288898 0.381611 -99.3400 204.68 214.57
23 0.921335 0.148298 4.280796 -111.4369 228.87 238.77
24 0.881350 0.017785 2.512562 -125.4155 256.83 266.73
25 0.845999 0.086892 2.682580 -117.8876 241.78 251.67
26 0.953301 0.179780 7.953917 -121.8549 249.71 259.60
27 0.999451 0.051551 7.953917 -129.0530 264.11 274.00
28 0.985036 0.662042 10.061955 -119.4307 244.86 254.76
29 0.729853 0.079630 2.715978 -133.8242 273.65 283.54
30 0.803401 0.079784 0.003357 -111.1106 228.22 238.12
31 0.738821 0.967114 5.035964 -124.8755 255.75 265.65
32 0.999879 0.448544 8.172467 -117.8132 241.63 251.52
33 0.931544 0.821939 9.148540 -124.5014 255.00 264.90
