SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
10 1 1 0.5307 1 1 1 0.025 4.025
10 2 1 0.5150 0 1 0 0.000 4.025
10 3 1 0.5307 1 1 1 0.025 4.050
10 4 1 0.5307 1 1 1 0.025 4.075
10 5 1 0.5150 0 0 1 0.025 4.100
10 6 1 0.5150 0 1 0 0.000 4.100
10 7 1 0.5307 1 1 1 0.025 4.125
10 8 1 0.5150 0 1 0 0.000 4.125
10 9 1 0.5307 1 0 0 0.000 4.125
10 10 1 0.5150 0 1 0 0.000 4.125
10 11 1 0.5150 0 1 0 0.000 4.125
10 12 1 0.5150 0 1 0 0.000 4.125
10 13 1 0.5307 1 0 0 0.000 4.125
10 14 1 0.5307 1 0 0 0.000 4.125
10 15 1 0.5150 0 1 0 0.000 4.125
10 16 1 0.5150 0 1 0 0.000 4.125
10 17 1 0.5150 0 1 0 0.000 4.125
10 18 1 0.5150 0 1 0 0.000 4.125
10 19 1 0.5307 1 0 0 0.000 4.125
10 20 1 0.5150 0 0 1 0.025 4.150
10 21 1 0.5307 1 0 0 0.000 4.150
10 22 1 0.5150 0 0 1 0.025 4.175
10 23 1 0.5150 0 0 1 0.025 4.200
10 24 1 0.5150 0 0 1 0.025 4.225
10 25 1 0.5150 0 0 1 0.025 4.250
10 26 1 0.5307 1 0 0 0.000 4.250
10 27 1 0.5307 1 0 0 0.000 4.250
10 28 1 0.5307 1 0 0 0.000 4.250
10 29 1 0.5150 0 1 0 0.000 4.250
10 30 1 0.5150 0 0 1 0.025 4.275
10 31 1 0.5150 0 0 1 0.025 4.300
10 32 1 0.5307 1 0 0 0.000 4.300
10 33 1 0.5307 1 0 0 0.000 4.300
10 34 1 0.5150 0 1 0 0.000 4.300
10 35 1 0.5150 0 0 1 0.025 4.325
10 36 1 0.5307 1 0 0 0.000 4.325
10 37 1 0.5307 1 0 0 0.000 4.325
10 38 1 0.5150 0 1 0 0.000 4.325
10 39 1 0.5307 1 0 0 0.000 4.325
10 40 1 0.5307 1 0 0 0.000 4.325
10 41 1 0.5150 0 0 1 0.025 4.350
10 42 1 0.5307 1 0 0 0.000 4.350
10 43 1 0.5150 0 0 1 0.025 4.375
10 44 1 0.5150 0 0 1 0.025 4.400
10 45 1 0.5307 1 0 0 0.000 4.400
10 46 1 0.5150 0 0 1 0.025 4.425
10 47 1 0.5150 0 0 1 0.025 4.450
10 48 1 0.5307 1 0 0 0.000 4.450
10 49 1 0.5307 1 0 0 0.000 4.450
10 50 1 0.5150 0 0 1 0.025 4.475
10 51 1 0.5307 1 0 0 0.000 4.475
10 52 1 0.5150 0 0 1 0.025 4.500
10 53 1 0.5150 0 0 1 0.025 4.525
10 54 1 0.5307 1 0 0 0.000 4.525
10 55 1 0.5307 1 0 0 0.000 4.525
10 56 1 0.5307 1 0 0 0.000 4.525
10 57 1 0.5307 1 0 0 0.000 4.525
10 58 1 0.5150 0 1 0 0.000 4.525
10 59 1 0.5150 0 1 0 0.000 4.525
10 60 1 0.5150 0 0 1 0.025 4.550
10 61 1 0.5307 1 0 0 0.000 4.550
10 62 1 0.5307 1 1 1 0.025 4.575
10 63 1 0.5307 1 1 1 0.025 4.600
10 64 1 0.5150 0 0 1 0.025 4.625
10 65 1 0.5307 1 0 0 0.000 4.625
10 66 1 0.5307 1 0 0 0.000 4.625
10 67 1 0.5307 1 0 0 0.000 4.625
10 68 1 0.5307 1 1 1 0.025 4.650
10 69 1 0.5150 0 0 1 0.025 4.675
10 70 1 0.5307 1 1 1 0.025 4.700
10 71 1 0.5307 1 1 1 0.025 4.725
10 72 1 0.5150 0 0 1 0.025 4.750
10 73 1 0.5307 1 0 0 0.000 4.750
10 74 1 0.5307 1 1 1 0.025 4.775
10 75 1 0.5150 0 0 1 0.025 4.800
10 76 1 0.5307 1 0 0 0.000 4.800
10 77 1 0.5307 1 0 0 0.000 4.800
10 78 1 0.5150 0 1 0 0.000 4.800
10 79 1 0.5150 0 0 1 0.025 4.825
10 80 1 0.5150 0 0 1 0.025 4.850
10 81 1 0.5150 0 0 1 0.025 4.875
10 82 1 0.5307 1 0 0 0.000 4.875
10 83 1 0.5150 0 0 1 0.025 4.900
10 84 1 0.5307 1 0 0 0.000 4.900
10 85 1 0.5307 1 0 0 0.000 4.900
10 86 1 0.5150 0 0 1 0.025 4.925
10 87 1 0.5307 1 0 0 0.000 4.925
10 88 1 0.5307 1 0 0 0.000 4.925
10 89 1 0.5307 1 0 0 0.000 4.925
10 90 1 0.5150 0 0 1 0.025 4.950
10 91 1 0.5307 1 0 0 0.000 4.950
10 92 1 0.5307 1 0 0 0.000 4.950
10 93 1 0.5150 0 1 0 0.000 4.950
10 94 1 0.5307 1 0 0 0.000 4.950
10 95 1 0.5150 0 1 0 0.000 4.950
10 96 1 0.5307 1 0 0 0.000 4.950
10 97 1 0.5150 0 0 1 0.025 4.975
10 98 1 0.5150 0 0 1 0.025 5.000
10 99 1 0.5150 0 0 1 0.025 5.025
10 100 1 0.5150 0 0 1 0.025 5.050
10 101 0 0.5307 1 1 1 0.025 5.075
10 102 0 0.5307 1 0 0 0.000 5.075
10 103 0 0.5150 0 1 0 0.000 5.075
10 104 0 0.5307 1 1 1 0.025 5.100
10 105 0 0.5150 0 0 1 0.025 5.125
10 106 0 0.5307 1 0 0 0.000 5.125
10 107 0 0.5150 0 1 0 0.000 5.125
10 108 0 0.5307 1 1 1 0.025 5.150
10 109 0 0.5307 1 0 0 0.000 5.150
10 110 0 0.5150 0 0 1 0.025 5.175
10 111 0 0.5307 1 0 0 0.000 5.175
10 112 0 0.5307 1 1 1 0.025 5.200
10 113 0 0.5307 1 0 0 0.000 5.200
10 114 0 0.5150 0 1 0 0.000 5.200
10 115 0 0.5150 0 1 0 0.000 5.200
10 116 0 0.5150 0 0 1 0.025 5.225
10 117 0 0.5307 1 1 1 0.025 5.250
10 118 0 0.5307 1 0 0 0.000 5.250
10 119 0 0.5307 1 1 1 0.025 5.275
10 120 0 0.5150 0 0 1 0.025 5.300
10 121 0 0.5307 1 1 1 0.025 5.325
10 122 0 0.5150 0 0 1 0.025 5.350
10 123 0 0.5150 0 0 1 0.025 5.375
10 124 0 0.5307 1 0 0 0.000 5.375
10 125 0 0.5150 0 1 0 0.000 5.375
10 126 0 0.5150 0 1 0 0.000 5.375
10 127 0 0.5307 1 0 0 0.000 5.375
10 128 0 0.5307 1 1 1 0.025 5.400
10 129 0 0.5150 0 0 1 0.025 5.425
10 130 0 0.5307 1 0 0 0.000 5.425
10 131 0 0.5307 1 1 1 0.025 5.450
10 132 0 0.5150 0 0 1 0.025 5.475
10 133 0 0.5150 0 0 1 0.025 5.500
10 134 0 0.5307 1 0 0 0.000 5.500
10 135 0 0.5150 0 1 0 0.000 5.500
10 136 0 0.5150 0 0 1 0.025 5.525
10 137 0 0.5307 1 0 0 0.000 5.525
10 138 0 0.5150 0 0 1 0.025 5.550
10 139 0 0.5150 0 0 1 0.025 5.575
10 140 0 0.5150 0 0 1 0.025 5.600
10 141 0 0.5150 0 0 1 0.025 5.625
10 142 0 0.5150 0 0 1 0.025 5.650
10 143 0 0.5150 0 0 1 0.025 5.675
10 144 0 0.5307 1 0 0 0.000 5.675
10 145 0 0.5150 0 0 1 0.025 5.700
10 146 0 0.5150 0 0 1 0.025 5.725
10 147 0 0.5307 1 0 0 0.000 5.725
10 148 0 0.5307 1 1 1 0.025 5.750
10 149 0 0.5150 0 0 1 0.025 5.775
10 150 0 0.5150 0 1 0 0.000 5.775
10 151 0 0.5307 1 1 1 0.025 5.800
10 152 0 0.5307 1 1 1 0.025 5.825
10 153 0 0.5307 1 1 1 0.025 5.850
10 154 0 0.5150 0 1 0 0.000 5.850
10 155 0 0.5307 1 1 1 0.025 5.875
10 156 0 0.5150 0 0 1 0.025 5.900
10 157 0 0.5150 0 0 1 0.025 5.925
10 158 0 0.5307 1 1 1 0.025 5.950
10 159 0 0.5307 1 1 1 0.025 5.975
10 160 0 0.5150 0 0 1 0.025 6.000
10 161 0 0.5150 0 0 1 0.025 6.025
10 162 0 0.5307 1 1 1 0.025 6.050
10 163 0 0.5307 1 1 1 0.025 6.075
10 164 0 0.5150 0 1 0 0.000 6.075
10 165 0 0.5307 1 0 0 0.000 6.075
10 166 0 0.5307 1 1 1 0.025 6.100
10 167 0 0.5150 0 1 0 0.000 6.100
10 168 0 0.5307 1 1 1 0.025 6.125
10 169 0 0.5307 1 1 1 0.025 6.150
10 170 0 0.5150 0 1 0 0.000 6.150
10 171 0 0.5150 0 1 0 0.000 6.150
10 172 0 0.5307 1 1 1 0.025 6.175
10 173 0 0.5150 0 0 1 0.025 6.200
10 174 0 0.5150 0 0 1 0.025 6.225
10 175 0 0.5307 1 0 0 0.000 6.225
10 176 0 0.5150 0 1 0 0.000 6.225
10 177 0 0.5150 0 1 0 0.000 6.225
10 178 0 0.5307 1 1 1 0.025 6.250
10 179 0 0.5150 0 0 1 0.025 6.275
10 180 0 0.5150 0 0 1 0.025 6.300
10 181 0 0.5150 0 1 0 0.000 6.300
10 182 0 0.5307 1 1 1 0.025 6.325
10 183 0 0.5307 1 0 0 0.000 6.325
10 184 0 0.5307 1 0 0 0.000 6.325
10 185 0 0.5307 1 1 1 0.025 6.350
10 186 0 0.5307 1 1 1 0.025 6.375
10 187 0 0.5307 1 0 0 0.000 6.375
10 188 0 0.5150 0 1 0 0.000 6.375
10 189 0 0.5150 0 0 1 0.025 6.400
10 190 0 0.5307 1 0 0 0.000 6.400
10 191 0 0.5150 0 0 1 0.025 6.425
10 192 0 0.5150 0 1 0 0.000 6.425
10 193 0 0.5150 0 0 1 0.025 6.450
10 194 0 0.5307 1 0 0 0.000 6.450
10 195 0 0.5307 1 1 1 0.025 6.475
10 196 0 0.5307 1 1 1 0.025 6.500
10 197 0 0.5150 0 0 1 0.025 6.525
10 198 0 0.5307 1 0 0 0.000 6.525
10 199 0 0.5150 0 1 0 0.000 6.525
10 200 0 0.5307 1 0 0 0.000 6.525
