SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
29 1 0 1 1 1 10 10 2016
29 2 0 1 1 1 10 20 1566
29 3 0 1 1 1 10 30 1383
29 4 0 1 1 1 10 40 1733
29 5 0 1 1 1 10 50 1600
29 6 0 0 1 0 0 50 2967
29 7 0 0 0 1 10 60 3366
29 8 0 1 1 1 10 70 1966
29 9 0 0 0 1 0 70 1083
29 10 0 0 1 0 0 70 1483
29 11 0 1 1 1 0 70 2433
29 12 0 0 1 0 0 70 2350
29 13 0 1 0 0 10 80 1766
29 14 0 0 1 0 0 80 1416
29 15 0 1 0 0 0 80 1016
29 16 0 0 0 1 10 90 1400
29 17 0 1 1 1 0 90 1083
29 18 0 1 0 0 10 100 616
29 19 0 1 0 0 10 110 816
29 20 0 1 0 0 0 110 1166
29 21 0 0 0 1 10 120 866
29 22 0 0 0 1 0 120 933
29 23 0 0 1 0 10 130 1016
29 24 0 0 0 1 10 140 1216
29 25 0 1 1 1 10 150 1700
29 26 0 1 0 0 0 150 1350
29 27 0 0 0 1 10 160 883
29 28 0 1 1 1 10 170 1250
29 29 0 1 1 1 0 170 1983
29 30 0 0 0 1 10 180 966
29 31 0 0 0 1 0 180 783
29 32 0 0 1 0 0 180 650
29 33 0 1 1 1 10 190 1983
29 34 0 0 1 0 0 190 816
29 35 0 0 0 1 10 200 1200
29 36 0 1 1 1 10 210 2750
29 37 0 0 1 0 10 220 1300
29 38 0 1 1 1 10 230 2066
29 39 0 1 1 1 10 240 1416
29 40 0 1 1 1 10 250 866
29 41 0 1 1 1 10 260 650
29 42 0 1 0 0 0 260 1183
29 43 0 1 1 1 0 260 816
29 44 0 0 0 1 10 270 1000
29 45 0 1 0 0 10 280 2416
29 46 0 1 0 0 0 280 1933
29 47 0 0 1 0 0 280 1700
29 48 0 0 0 1 0 280 1100
29 49 0 0 1 0 0 280 1250
29 50 0 0 0 1 10 290 1000
29 51 0 1 0 0 0 290 1516
29 52 0 1 1 1 0 290 600
29 53 0 1 1 1 10 300 1083
29 54 0 0 0 1 10 310 1483
29 55 0 1 1 1 0 310 1550
29 56 0 0 0 1 10 320 883
29 57 0 1 1 1 10 330 1183
29 58 0 1 1 1 10 340 1383
29 59 0 0 0 1 10 350 1000
29 60 0 0 0 1 10 360 733
29 61 0 1 1 1 0 360 1150
29 62 0 0 0 1 10 370 833
29 63 0 0 0 1 0 370 1066
29 64 0 0 1 0 0 370 616
29 65 0 1 0 0 0 370 1683
29 66 0 0 1 0 10 380 1183
29 67 0 0 1 0 0 380 1333
29 68 0 1 0 0 0 380 1216
29 69 0 0 0 1 10 390 1866
29 70 0 1 0 0 0 390 1200
29 71 0 0 0 1 10 400 1050
29 72 0 0 0 1 10 410 783
29 73 0 0 0 1 0 410 1016
29 74 0 1 1 1 10 420 750
29 75 0 0 1 0 10 430 700
29 76 0 0 1 0 10 440 733
29 77 0 0 1 0 10 450 700
29 78 0 1 1 1 0 450 633
29 79 0 0 1 0 0 450 783
29 80 0 0 0 1 0 450 766
29 81 0 1 0 0 10 460 733
29 82 0 1 0 0 10 470 766
29 83 0 0 1 0 0 470 1133
29 84 0 1 0 0 0 470 1000
29 85 0 1 1 1 10 480 950
29 86 0 0 0 1 10 490 1750
29 87 0 1 1 1 0 490 883
29 88 0 1 0 0 10 500 916
29 89 0 0 0 1 10 510 1666
29 90 0 1 0 0 10 520 1900
29 91 0 1 0 0 0 520 633
29 92 0 0 0 1 10 530 1416
29 93 0 0 0 1 10 540 783
29 94 0 1 1 1 10 550 583
29 95 0 0 0 1 10 560 883
29 96 0 0 0 1 10 570 1133
29 97 0 1 1 1 0 570 450
29 98 0 1 0 0 0 570 916
29 99 0 0 0 1 10 580 833
29 100 0 0 0 1 10 590 633
29 101 1 0 1 0 0 590 933
29 102 1 1 1 1 0 590 1316
29 103 1 0 0 1 10 600 700
29 104 1 1 0 0 10 610 900
29 105 1 0 0 1 10 620 716
29 106 1 0 0 1 0 620 666
29 107 1 1 0 0 0 620 783
29 108 1 0 1 0 10 630 550
29 109 1 1 1 1 10 640 783
29 110 1 0 1 0 0 640 816
29 111 1 0 1 0 10 650 950
29 112 1 1 0 0 0 650 1216
29 113 1 1 1 1 10 660 516
29 114 1 1 1 1 0 660 1183
29 115 1 1 0 0 0 660 700
29 116 1 1 1 1 0 660 733
29 117 1 1 0 0 10 670 600
29 118 1 0 1 0 10 680 850
29 119 1 0 1 0 10 690 767
29 120 1 1 0 0 0 690 1533
29 121 1 1 0 0 0 690 1150
29 122 1 1 1 1 0 690 983
29 123 1 1 1 1 10 700 500
29 124 1 0 0 1 10 710 733
29 125 1 0 0 1 0 710 750
29 126 1 0 0 1 10 720 600
29 127 1 1 1 1 10 730 2150
29 128 1 1 1 1 10 740 983
29 129 1 0 0 1 10 750 933
29 130 1 0 0 1 0 750 700
29 131 1 0 0 1 0 750 750
29 132 1 0 1 0 0 750 483
29 133 1 0 0 1 0 750 650
29 134 1 1 1 1 0 750 1550
29 135 1 0 1 0 0 750 1300
29 136 1 1 0 0 0 750 800
29 137 1 1 1 1 10 760 483
29 138 1 1 1 1 10 770 1033
29 139 1 0 0 1 10 780 800
29 140 1 1 1 1 0 780 916
29 141 1 1 1 1 10 790 750
29 142 1 0 0 1 0 790 916
29 143 1 1 1 1 10 800 966
29 144 1 0 0 1 10 810 733
29 145 1 0 1 0 0 810 1316
29 146 1 1 1 1 10 820 1866
29 147 1 1 1 1 10 830 683
29 148 1 1 1 1 0 830 700
29 149 1 0 0 1 0 830 950
29 150 1 1 1 1 10 840 1600
29 151 1 0 1 0 10 850 1166
29 152 1 0 1 0 10 860 700
29 153 1 1 1 1 10 870 783
29 154 1 1 1 1 10 880 783
29 155 1 0 1 0 0 880 950
29 156 1 1 1 1 10 890 716
29 157 1 0 1 0 0 890 983
29 158 1 0 1 0 10 900 1033
29 159 1 0 0 1 10 910 1500
29 160 1 0 0 1 10 920 933
29 161 1 1 1 1 10 930 833
29 162 1 0 0 1 0 930 1066
29 163 1 0 1 0 0 930 566
29 164 1 1 1 1 0 930 1366
29 165 1 1 1 1 0 930 2766
29 166 1 1 1 1 0 930 2233
29 167 1 1 1 1 0 930 700
29 168 1 0 0 1 0 930 833
29 169 1 0 1 0 0 930 583
29 170 1 0 1 0 10 940 716
29 171 1 1 0 0 10 950 1366
29 172 1 1 0 0 0 950 783
