SubNo TrialNo Mapping State Resp Acc Reward Balance ReactionTime
4 1 1 1 1 1 10 10 2532
4 2 1 0 0 1 10 20 1567
4 3 1 1 0 0 0 20 2099
4 4 1 0 0 1 10 30 2332
4 5 1 0 0 1 0 30 1527
4 6 1 0 0 1 10 40 1583
4 7 1 0 1 0 0 40 2283
4 8 1 1 1 1 10 50 1383
4 9 1 0 0 1 10 60 1150
4 10 1 0 0 1 0 60 1366
4 11 1 0 0 1 10 70 1133
4 12 1 0 0 1 0 70 2450
4 13 1 1 1 1 10 80 2400
4 14 1 0 0 1 10 90 1150
4 15 1 1 0 0 0 90 3250
4 16 1 0 0 1 0 90 2150
4 17 1 1 1 1 10 100 1383
4 18 1 1 1 1 10 110 1633
4 19 1 0 0 1 10 120 1233
4 20 1 0 1 0 0 120 2483
4 21 1 0 0 1 10 130 1883
4 22 1 1 1 1 0 130 2283
4 23 1 0 0 1 10 140 1400
4 24 1 1 1 1 10 150 1166
4 25 1 0 0 1 10 160 1150
4 26 1 0 0 1 10 170 1050
4 27 1 0 1 0 0 170 2683
4 28 1 1 0 0 0 170 2166
4 29 1 1 1 1 0 170 1716
4 30 1 1 1 1 10 180 1450
4 31 1 1 1 1 10 190 1716
4 32 1 1 1 1 10 200 1000
4 33 1 0 0 1 10 210 916
4 34 1 1 1 1 10 220 3400
4 35 1 1 1 1 10 230 1050
4 36 1 1 1 1 10 240 1266
4 37 1 1 1 1 0 240 1066
4 38 1 0 0 1 0 240 983
4 39 1 1 0 0 0 240 1183
4 40 1 0 0 1 10 250 1666
4 41 1 1 1 1 10 260 1316
4 42 1 1 1 1 10 270 1583
4 43 1 0 0 1 10 280 916
4 44 1 1 1 1 10 290 1000
4 45 1 1 1 1 0 290 966
4 46 1 1 1 1 10 300 966
4 47 1 1 1 1 10 310 1133
4 48 1 1 1 1 10 320 1833
4 49 1 1 1 1 10 330 2633
4 50 1 1 1 1 10 340 1150
4 51 1 0 0 1 10 350 1383
4 52 1 1 0 0 0 350 3050
4 53 1 0 0 1 10 360 1833
4 54 1 1 1 1 10 370 1266
4 55 1 1 1 1 0 370 1150
4 56 1 0 0 1 10 380 766
4 57 1 1 1 1 0 380 2033
4 58 1 0 0 1 10 390 816
4 59 1 0 0 1 0 390 1233
4 60 1 0 0 1 10 400 1450
4 61 1 0 0 1 10 410 1516
4 62 1 0 0 1 10 420 800
4 63 1 1 1 1 10 430 983
4 64 1 1 1 1 10 440 2683
4 65 1 1 1 1 0 440 866
4 66 1 0 0 1 10 450 1833
4 67 1 0 0 1 10 460 1250
4 68 1 1 0 0 0 460 2566
4 69 1 0 0 1 0 460 950
4 70 1 1 1 1 0 460 950
4 71 1 0 0 1 0 460 866
4 72 1 1 1 1 10 470 1633
4 73 1 0 0 1 10 480 1016
4 74 1 0 0 1 0 480 950
4 75 1 0 0 1 10 490 900
4 76 1 1 1 1 0 490 1066
4 77 1 0 1 0 10 500 1800
4 78 1 1 0 0 0 500 1400
4 79 1 1 1 1 0 500 850
4 80 1 1 1 1 0 500 933
4 81 1 1 1 1 10 510 866
4 82 1 1 1 1 10 520 716
4 83 1 1 1 1 0 520 933
4 84 1 0 0 1 10 530 983
4 85 1 1 1 1 0 530 700
4 86 1 1 0 0 0 530 850
4 87 1 0 0 1 10 540 1200
4 88 1 0 0 1 0 540 733
4 89 1 0 1 0 10 550 816
4 90 1 0 1 0 10 560 900
4 91 1 0 1 0 0 560 850
4 92 1 0 0 1 10 570 1583
4 93 1 0 0 1 10 580 850
4 94 1 0 0 1 10 590 783
4 95 1 1 0 0 0 590 1416
4 96 1 0 0 1 10 600 716
4 97 1 0 0 1 10 610 1416
4 98 1 1 1 1 10 620 4100
4 99 1 1 1 1 10 630 766
4 100 1 0 0 1 10 640 850
4 101 0 1 0 0 0 640 1366
4 102 0 0 1 0 10 650 850
4 103 0 1 0 0 0 650 916
4 104 0 0 1 0 10 660 750
4 105 0 0 1 0 0 660 1016
4 106 0 1 0 0 0 660 883
4 107 0 1 0 0 10 670 883
4 108 0 0 1 0 0 670 900
4 109 0 1 1 1 10 680 933
4 110 0 0 0 1 10 690 866
4 111 0 1 0 0 0 690 916
4 112 0 1 1 1 10 700 1733
4 113 0 0 0 1 0 700 1016
4 114 0 0 1 0 0 700 2200
4 115 0 0 0 1 0 700 1733
4 116 0 0 0 1 10 710 1266
4 117 0 1 1 1 10 720 1450
4 118 0 0 0 1 10 730 1000
4 119 0 1 1 1 10 740 1316
4 120 0 1 0 0 0 740 1133
4 121 0 1 1 1 10 750 1500
4 122 0 0 0 1 10 760 1383
4 123 0 0 0 1 0 760 850
4 124 0 0 0 1 0 760 1050
4 125 0 0 0 1 0 760 1100
4 126 0 0 0 1 0 760 1250
4 127 0 0 0 1 10 770 1266
4 128 0 0 1 0 0 770 833
4 129 0 0 1 0 0 770 1066
4 130 0 0 1 0 0 770 766
4 131 0 0 0 1 0 770 916
4 132 0 0 1 0 0 770 2216
4 133 0 1 1 1 0 770 2183
4 134 0 0 1 0 0 770 950
4 135 0 1 0 0 10 780 816
4 136 0 1 0 0 10 790 816
4 137 0 1 0 0 0 790 733
4 138 0 1 1 1 10 800 950
4 139 0 0 1 0 0 800 2500
4 140 0 0 1 0 10 810 850
4 141 0 0 0 1 10 820 1000
4 142 0 1 1 1 0 820 666
4 143 0 0 1 0 0 820 633
4 144 0 1 1 1 10 830 766
4 145 0 0 0 1 10 840 850
4 146 0 1 1 1 10 850 833
4 147 0 1 1 1 0 850 900
4 148 0 1 0 0 0 850 1666
4 149 0 1 1 1 10 860 933
4 150 0 0 0 1 10 870 700
4 151 0 1 1 1 10 880 783
4 152 0 1 0 0 0 880 700
4 153 0 1 1 1 10 890 1366
4 154 0 1 1 1 10 900 933
4 155 0 1 1 1 10 910 1700
4 156 0 1 1 1 10 920 716
4 157 0 0 0 1 10 930 1000
4 158 0 1 1 1 10 940 1433
4 159 0 0 0 1 10 950 966
4 160 0 1 1 1 10 960 1000
4 161 0 0 0 1 0 960 883
4 162 0 0 0 1 0 960 766
4 163 0 0 1 0 0 960 1200
4 164 0 1 1 1 10 970 2716
4 165 0 1 1 1 0 970 1000
4 166 0 1 1 1 10 980 950
4 167 0 1 1 1 10 990 833
4 168 0 0 0 1 10 1000 850
4 169 0 1 1 1 0 1000 700
4 170 0 1 1 1 10 1010 750
4 171 0 0 0 1 10 1020 866
4 172 0 1 1 1 10 1030 783
4 173 0 0 0 1 0 1030 1283
4 174 0 1 1 1 0 1030 1150
4 175 0 0 0 1 10 1040 1150
4 176 0 0 0 1 0 1040 1350
4 177 0 1 1 1 10 1050 883
4 178 0 0 0 1 10 1060 700
4 179 0 0 0 1 10 1070 1200
4 180 0 1 1 1 10 1080 800
4 181 0 0 0 1 10 1090 1016
4 182 0 1 1 1 0 1090 1016
4 183 0 1 1 1 10 1100 1033
4 184 0 1 1 1 10 1110 816
4 185 0 0 0 1 10 1120 833
4 186 0 0 0 1 0 1120 933
4 187 0 0 0 1 10 1130 1016
4 188 0 0 0 1 10 1140 1366
4 189 0 1 1 1 10 1150 1050
4 190 0 1 1 1 10 1160 866
4 191 0 1 0 0 10 1170 600
4 192 0 0 0 1 0 1170 1116
4 193 0 0 0 1 0 1170 816
4 194 0 1 1 1 0 1170 833
4 195 0 0 0 1 10 1180 966
4 196 0 0 0 1 0 1180 1600
4 197 0 1 1 1 0 1180 900
4 198 0 1 1 1 10 1190 2000
4 199 0 0 0 1 0 1190 766
4 200 0 1 0 0 0 1190 1733
