SubNo TrialNo Mapping WhiteProp State Resp Acc Reward Balance ReactionTime
5 1 0 0.4714 0 1 0 0 0 4568
5 2 0 0.5167 1 1 1 10 10 1349
5 3 0 0.4714 0 1 0 0 10 816
5 4 0 0.4714 0 0 1 10 20 2768
5 5 0 0.5167 1 1 1 10 30 2381
5 6 0 0.4714 0 0 1 10 40 1633
5 7 0 0.4714 0 0 1 10 50 1266
5 8 0 0.4714 0 0 1 10 60 883
5 9 0 0.4714 0 0 1 10 70 500
5 10 0 0.4714 0 0 1 10 80 516
5 11 0 0.4714 0 0 1 10 90 550
5 12 0 0.4714 0 0 1 10 100 633
5 13 0 0.5167 1 1 1 10 110 966
5 14 0 0.4714 0 0 1 10 120 450
5 15 0 0.5167 1 1 1 10 130 816
5 16 0 0.5167 1 1 1 10 140 783
5 17 0 0.5167 1 1 1 10 150 750
5 18 0 0.4714 0 0 1 10 160 650
5 19 0 0.5167 1 1 1 10 170 583
5 20 0 0.4714 0 1 0 0 170 2650
5 21 0 0.5167 1 1 1 10 180 733
5 22 0 0.5167 1 1 1 10 190 716
5 23 0 0.5167 1 1 1 10 200 600
5 24 0 0.4714 0 0 1 10 210 733
5 25 0 0.5167 1 1 1 10 220 1116
5 26 0 0.4714 0 1 0 0 220 1567
5 27 0 0.5167 1 1 1 10 230 750
5 28 0 0.5167 1 1 1 10 240 700
5 29 0 0.4714 0 0 1 10 250 566
5 30 0 0.4714 0 0 1 10 260 516
5 31 0 0.5167 1 1 1 10 270 783
5 32 0 0.5167 1 1 1 10 280 433
5 33 0 0.5167 1 1 1 10 290 566
5 34 0 0.4714 0 0 1 10 300 700
5 35 0 0.4714 0 0 1 10 310 500
5 36 0 0.5167 1 1 1 10 320 666
5 37 0 0.4714 0 0 1 10 330 1016
5 38 0 0.5167 1 1 1 10 340 466
5 39 0 0.5167 1 1 1 10 350 616
5 40 0 0.4714 0 0 1 10 360 500
5 41 0 0.5167 1 1 1 10 370 616
5 42 0 0.5167 1 1 1 10 380 550
5 43 0 0.5167 1 1 1 10 390 533
5 44 0 0.4714 0 0 1 10 400 650
5 45 0 0.5167 1 1 1 10 410 800
5 46 0 0.5167 1 1 1 10 420 516
5 47 0 0.4714 0 0 1 10 430 600
5 48 0 0.5167 1 0 0 0 430 616
5 49 0 0.5167 1 1 1 10 440 750
