SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
2 1 1 0.5130 0 1 0 0.000 4.000
2 2 1 0.5130 0 0 1 0.025 4.025
2 3 1 0.5375 1 1 1 0.025 4.050
2 4 1 0.5375 1 1 1 0.025 4.075
2 5 1 0.5130 0 1 0 0.000 4.075
2 6 1 0.5130 0 0 1 0.025 4.100
2 7 1 0.5375 1 0 0 0.000 4.100
2 8 1 0.5375 1 0 0 0.000 4.100
2 9 1 0.5375 1 1 1 0.025 4.125
2 10 1 0.5375 1 1 1 0.025 4.150
2 11 1 0.5375 1 1 1 0.025 4.175
2 12 1 0.5375 1 1 1 0.025 4.200
2 13 1 0.5130 0 1 0 0.000 4.200
2 14 1 0.5375 1 1 1 0.025 4.225
2 15 1 0.5375 1 0 0 0.000 4.225
2 16 1 0.5130 0 0 1 0.025 4.250
2 17 1 0.5130 0 0 1 0.025 4.275
2 18 1 0.5375 1 1 1 0.025 4.300
2 19 1 0.5375 1 1 1 0.025 4.325
2 20 1 0.5130 0 1 0 0.000 4.325
2 21 1 0.5130 0 0 1 0.025 4.350
2 22 1 0.5375 1 0 0 0.000 4.350
2 23 1 0.5375 1 0 0 0.000 4.350
2 24 1 0.5130 0 0 1 0.025 4.375
2 25 1 0.5130 0 0 1 0.025 4.400
2 26 1 0.5130 0 0 1 0.025 4.425
2 27 1 0.5375 1 1 1 0.025 4.450
2 28 1 0.5375 1 1 1 0.025 4.475
2 29 1 0.5375 1 1 1 0.025 4.500
2 30 1 0.5130 0 0 1 0.025 4.525
2 31 1 0.5375 1 1 1 0.025 4.550
2 32 1 0.5130 0 1 0 0.000 4.550
2 33 1 0.5130 0 0 1 0.025 4.575
2 34 1 0.5130 0 0 1 0.025 4.600
2 35 1 0.5130 0 0 1 0.025 4.625
2 36 1 0.5375 1 1 1 0.025 4.650
2 37 1 0.5375 1 0 0 0.000 4.650
2 38 1 0.5130 0 0 1 0.025 4.675
2 39 1 0.5130 0 0 1 0.025 4.700
2 40 1 0.5130 0 0 1 0.025 4.725
2 41 1 0.5375 1 1 1 0.025 4.750
2 42 1 0.5375 1 1 1 0.025 4.775
2 43 1 0.5375 1 1 1 0.025 4.800
2 44 1 0.5130 0 0 1 0.025 4.825
2 45 1 0.5130 0 0 1 0.025 4.850
2 46 1 0.5130 0 0 1 0.025 4.875
2 47 1 0.5130 0 0 1 0.025 4.900
2 48 1 0.5130 0 0 1 0.025 4.925
2 49 1 0.5375 1 1 1 0.025 4.950
2 50 1 0.5375 1 1 1 0.025 4.975
2 51 1 0.5375 1 1 1 0.025 5.000
2 52 1 0.5130 0 0 1 0.025 5.025
2 53 1 0.5130 0 0 1 0.025 5.050
2 54 1 0.5375 1 0 0 0.000 5.050
2 55 1 0.5130 0 0 1 0.025 5.075
2 56 1 0.5375 1 0 0 0.000 5.075
2 57 1 0.5375 1 1 1 0.025 5.100
2 58 1 0.5130 0 0 1 0.025 5.125
2 59 1 0.5130 0 0 1 0.025 5.150
2 60 1 0.5375 1 1 1 0.025 5.175
2 61 1 0.5130 0 0 1 0.025 5.200
2 62 1 0.5375 1 1 1 0.025 5.225
2 63 1 0.5130 0 0 1 0.025 5.250
2 64 1 0.5130 0 0 1 0.025 5.275
2 65 1 0.5130 0 0 1 0.025 5.300
2 66 1 0.5130 0 0 1 0.025 5.325
2 67 1 0.5130 0 1 0 0.000 5.325
2 68 1 0.5375 1 1 1 0.025 5.350
2 69 1 0.5130 0 1 0 0.000 5.350
2 70 1 0.5375 1 0 0 0.000 5.350
2 71 1 0.5375 1 0 0 0.000 5.350
2 72 1 0.5375 1 1 1 0.025 5.375
2 73 1 0.5130 0 0 1 0.025 5.400
2 74 1 0.5130 0 0 1 0.025 5.425
2 75 1 0.5130 0 0 1 0.025 5.450
2 76 1 0.5375 1 1 1 0.025 5.475
2 77 1 0.5130 0 0 1 0.025 5.500
2 78 1 0.5375 1 1 1 0.025 5.525
2 79 1 0.5130 0 0 1 0.025 5.550
2 80 1 0.5375 1 1 1 0.025 5.575
2 81 1 0.5375 1 1 1 0.025 5.600
2 82 1 0.5375 1 1 1 0.025 5.625
2 83 1 0.5375 1 1 1 0.025 5.650
2 84 1 0.5130 0 1 0 0.000 5.650
2 85 1 0.5130 0 0 1 0.025 5.675
2 86 1 0.5130 0 1 0 0.000 5.675
2 87 1 0.5130 0 0 1 0.025 5.700
2 88 1 0.5375 1 1 1 0.025 5.725
2 89 1 0.5375 1 1 1 0.025 5.750
2 90 1 0.5130 0 0 1 0.025 5.775
2 91 1 0.5130 0 0 1 0.025 5.800
2 92 1 0.5375 1 1 1 0.025 5.825
2 93 1 0.5375 1 1 1 0.025 5.850
2 94 1 0.5375 1 1 1 0.025 5.875
2 95 1 0.5375 1 1 1 0.025 5.900
2 96 1 0.5130 0 0 1 0.025 5.925
2 97 1 0.5375 1 1 1 0.025 5.950
2 98 1 0.5375 1 1 1 0.025 5.975
2 99 1 0.5375 1 1 1 0.025 6.000
2 100 1 0.5130 0 0 1 0.025 6.025
2 101 0 0.5130 0 0 1 0.025 6.050
2 102 0 0.5375 1 0 0 0.000 6.050
2 103 0 0.5130 0 0 1 0.025 6.075
2 104 0 0.5130 0 0 1 0.025 6.100
