"SubNo","TrialNo","Mapping","State","Resp","Acc","Reward","Balance","Condition","RewardedOrNot"
"1",1,"0","0","0","1",0.025,4.025,"control","1"
"1",2,"0","1","0","0",0,4.025,"control","0"
"1",3,"0","0","1","0",0,4.025,"control","0"
"1",4,"0","0","1","0",0,4.025,"control","0"
"1",5,"0","0","0","1",0.025,4.05,"control","1"
"1",6,"0","0","0","1",0.025,4.075,"control","1"
"1",7,"0","0","0","1",0.025,4.1,"control","1"
"1",8,"0","0","0","1",0.025,4.125,"control","1"
"1",9,"0","1","0","0",0,4.125,"control","0"
"1",10,"0","0","0","1",0.025,4.15,"control","1"
"1",11,"0","0","0","1",0.025,4.175,"control","1"
"1",12,"0","1","0","0",0,4.175,"control","0"
"1",13,"0","1","0","0",0,4.175,"control","0"
"1",14,"0","1","0","0",0,4.175,"control","0"
"1",15,"0","1","0","0",0,4.175,"control","0"
"1",16,"0","1","0","0",0,4.175,"control","0"
"1",17,"0","1","0","0",0,4.175,"control","0"
"1",18,"0","0","0","1",0.025,4.2,"control","1"
"1",19,"0","0","0","1",0.025,4.225,"control","1"
"1",20,"0","0","1","0",0,4.225,"control","0"
"1",21,"0","0","0","1",0.025,4.25,"control","1"
"1",22,"0","0","0","1",0.025,4.275,"control","1"
"1",23,"0","0","0","1",0.025,4.3,"control","1"
"1",24,"0","1","0","0",0,4.3,"control","0"
"1",25,"0","0","0","1",0.025,4.325,"control","1"
"1",26,"0","1","0","0",0,4.325,"control","0"
"1",27,"0","0","0","1",0.025,4.35,"control","1"
"1",28,"0","0","1","0",0,4.35,"control","0"
"1",29,"0","0","0","1",0.025,4.375,"control","1"
"1",30,"0","1","0","0",0,4.375,"control","0"
"1",31,"0","0","0","1",0.025,4.4,"control","1"
"1",32,"0","1","0","0",0,4.4,"control","0"
"1",33,"0","1","0","0",0,4.4,"control","0"
"1",34,"0","0","1","0",0,4.4,"control","0"
"1",35,"0","0","1","0",0,4.4,"control","0"
"1",36,"0","1","0","0",0,4.4,"control","0"
"1",37,"0","1","0","0",0,4.4,"control","0"
"1",38,"0","1","0","0",0,4.4,"control","0"
"1",39,"0","0","0","1",0.025,4.425,"control","1"
"1",40,"0","1","0","0",0,4.425,"control","0"
"1",41,"0","0","1","0",0,4.425,"control","0"
"1",42,"0","0","1","0",0,4.425,"control","0"
"1",43,"0","1","0","0",0,4.425,"control","0"
"1",44,"0","1","1","1",0.025,4.45,"control","1"
"1",45,"0","0","0","1",0.025,4.475,"control","1"
"1",46,"0","1","0","0",0,4.475,"control","0"
"1",47,"0","0","1","0",0,4.475,"control","0"
"1",48,"0","0","1","0",0,4.475,"control","0"
"1",49,"0","1","0","0",0,4.475,"control","0"
"1",50,"0","1","1","1",0.025,4.5,"control","1"
"1",51,"0","0","1","0",0,4.5,"control","0"
"1",52,"0","1","0","0",0,4.5,"control","0"
"1",53,"0","1","1","1",0.025,4.525,"control","1"
"1",54,"0","1","1","1",0.025,4.55,"control","1"
"1",55,"0","1","0","0",0,4.55,"control","0"
"1",56,"0","0","1","0",0,4.55,"control","0"
"1",57,"0","0","1","0",0,4.55,"control","0"
"1",58,"0","1","0","0",0,4.55,"control","0"
"1",59,"0","0","1","0",0,4.55,"control","0"
"1",60,"0","1","0","0",0,4.55,"control","0"
"1",61,"0","1","0","0",0,4.55,"control","0"
"1",62,"0","1","1","1",0.025,4.575,"control","1"
"1",63,"0","1","0","0",0,4.575,"control","0"
"1",64,"0","0","1","0",0,4.575,"control","0"
"1",65,"0","1","0","0",0,4.575,"control","0"
"1",66,"0","0","0","1",0.025,4.6,"control","1"
"1",67,"0","1","0","0",0,4.6,"control","0"
"1",68,"0","1","0","0",0,4.6,"control","0"
"1",69,"0","0","1","0",0,4.6,"control","0"
"1",70,"0","0","1","0",0,4.6,"control","0"
"1",71,"0","0","0","1",0.025,4.625,"control","1"
"1",72,"0","0","0","1",0.025,4.65,"control","1"
"1",73,"0","1","0","0",0,4.65,"control","0"
"1",74,"0","1","0","0",0,4.65,"control","0"
"1",75,"0","1","0","0",0,4.65,"control","0"
"1",76,"0","1","0","0",0,4.65,"control","0"
"1",77,"0","1","0","0",0,4.65,"control","0"
"1",78,"0","0","0","1",0.025,4.675,"control","1"
"1",79,"0","0","0","1",0.025,4.7,"control","1"
"1",80,"0","1","0","0",0,4.7,"control","0"
"1",81,"0","1","0","0",0,4.7,"control","0"
"1",82,"0","1","1","1",0.025,4.725,"control","1"
"1",83,"0","0","1","0",0,4.725,"control","0"
"1",84,"0","1","0","0",0,4.725,"control","0"
"1",85,"0","1","0","0",0,4.725,"control","0"
"1",86,"0","0","1","0",0,4.725,"control","0"
"1",87,"0","1","0","0",0,4.725,"control","0"
"1",88,"0","0","0","1",0.025,4.75,"control","1"
"1",89,"0","1","0","0",0,4.75,"control","0"
"1",90,"0","0","1","0",0,4.75,"control","0"
"1",91,"0","1","0","0",0,4.75,"control","0"
"1",92,"0","0","1","0",0,4.75,"control","0"
"1",93,"0","0","0","1",0.025,4.775,"control","1"
"1",94,"0","1","0","0",0,4.775,"control","0"
"1",95,"0","1","0","0",0,4.775,"control","0"
"1",96,"0","1","0","0",0,4.775,"control","0"
"1",97,"0","0","1","0",0,4.775,"control","0"
"1",98,"0","0","0","1",0.025,4.8,"control","1"
"1",99,"0","0","0","1",0.025,4.825,"control","1"
"1",100,"0","0","1","0",0,4.825,"control","0"
"1",101,"1","1","0","0",0,4.825,"control","0"
"1",102,"1","0","1","0",0,4.825,"control","0"
"1",103,"1","1","0","0",0,4.825,"control","0"
"1",104,"1","0","0","1",0.025,4.85,"control","1"
"1",105,"1","1","1","1",0.025,4.875,"control","1"
"1",106,"1","1","0","0",0,4.875,"control","0"
"1",107,"1","0","0","1",0.025,4.9,"control","1"
"1",108,"1","0","1","0",0,4.9,"control","0"
"1",109,"1","0","1","0",0,4.9,"control","0"
"1",110,"1","0","0","1",0.025,4.925,"control","1"
"1",111,"1","0","0","1",0.025,4.95,"control","1"
"1",112,"1","0","1","0",0,4.95,"control","0"
"1",113,"1","1","0","0",0,4.95,"control","0"
"1",114,"1","1","0","0",0,4.95,"control","0"
"1",115,"1","0","1","0",0,4.95,"control","0"
"1",116,"1","1","1","1",0.025,4.975,"control","1"
"1",117,"1","0","1","0",0,4.975,"control","0"
"1",118,"1","0","1","0",0,4.975,"control","0"
"1",119,"1","0","1","0",0,4.975,"control","0"
"1",120,"1","1","0","0",0,4.975,"control","0"
