SubNo,TrialNo,Mapping,State,Resp,Acc,Reward,Balance,ReactionTime,UncerCond,RewardedOrNot
1,1,1,1,0,0,0,0,1484,SU,0
1,2,1,1,0,0,0,0,2316,SU,0
1,3,1,1,1,1,10,10,1319,SU,1
1,4,1,1,1,1,10,20,1000,SU,1
1,5,1,1,1,1,10,30,714,SU,1
1,6,1,1,1,1,10,40,900,SU,1
1,7,1,1,0,0,0,40,1033,SU,0
1,8,1,0,1,0,0,40,716,SU,0
1,9,1,0,1,0,0,40,967,SU,0
1,10,1,1,1,1,10,50,633,SU,1
1,11,1,0,1,0,0,50,816,SU,0
1,12,1,0,0,1,10,60,1100,SU,1
1,13,1,1,0,0,0,60,800,SU,0
1,14,1,1,1,1,10,70,1166,SU,1
1,15,1,0,1,0,0,70,866,SU,0
1,16,1,1,0,0,0,70,1566,SU,0
1,17,1,0,1,0,0,70,766,SU,0
1,18,1,0,0,1,10,80,1467,SU,1
1,19,1,1,1,1,10,90,2266,SU,1
1,20,1,0,1,0,0,90,750,SU,0
1,21,1,1,0,0,0,90,1200,SU,0
1,22,1,1,1,1,10,100,950,SU,1
1,23,1,1,1,1,10,110,1066,SU,1
1,24,1,0,1,0,0,110,633,SU,0
1,25,1,0,1,0,0,110,750,SU,0
1,26,1,0,1,0,0,110,1850,SU,0
1,27,1,1,0,0,0,110,1000,SU,0
1,28,1,0,1,0,0,110,1150,SU,0
1,29,1,1,0,0,0,110,1466,SU,0
1,30,1,1,1,1,10,120,1083,SU,1
1,31,1,1,0,0,0,120,1900,SU,0
1,32,1,1,0,0,0,120,1783,SU,0
1,33,1,0,0,1,10,130,2300,SU,1
1,34,1,0,0,1,10,140,1366,SU,1
1,35,1,1,0,0,0,140,1916,SU,0
1,36,1,1,1,1,10,150,1383,SU,1
1,37,1,0,1,0,0,150,1683,SU,0
1,38,1,0,1,0,0,150,1750,SU,0
1,39,1,1,1,1,10,160,4533,SU,1
1,40,1,0,0,1,10,170,1316,SU,1
1,41,1,1,1,1,10,180,1350,SU,1
1,42,1,1,0,0,0,180,2116,SU,0
