"","SubNo","TrialNo","Mapping","State","Resp","Acc","Reward","Balance","ReactionTime","UncerCond","RewardedOrNot","RewardProp_WTA","RewardProp_PWRL","RewardProp_BISAW","RewardSucc_WTA","RewardSucc_PWRL","RewardSucc_BISAW","RewardFail_WTA","RewardFail_PWRL","RewardFail_BISAW"
"1",1,1,1,1,0,0,0,0,1484,"SU",0,0.52,0.46,0.55,52,46,55,48,54,45
"2",1,2,1,1,0,0,0,0,2316,"SU",0,0.52,0.61,0.58,52,61,58,48,39,42
"3",1,3,1,1,1,1,10,10,1319,"SU",1,0.53,0.56,0.69,53,56,69,47,44,31
"4",1,4,1,1,1,1,10,20,1000,"SU",1,0.63,0.6,0.78,63,60,78,37,40,22
"5",1,5,1,1,1,1,10,30,714,"SU",1,0.44,0.75,0.78,44,75,78,56,25,22
"6",1,6,1,1,1,1,10,40,900,"SU",1,0.54,0.7,0.83,54,70,83,46,30,17
"7",1,7,1,1,0,0,0,40,1033,"SU",0,0.55,0.67,0.84,55,67,84,45,33,16
"8",1,8,1,0,1,0,0,40,716,"SU",0,0.45,0.29,0.22,45,29,22,55,71,78
"9",1,9,1,0,1,0,0,40,967,"SU",0,0.52,0.33,0.34,52,33,34,48,67,66
"10",1,10,1,1,1,1,10,50,633,"SU",1,0.65,0.69,0.74,65,69,74,35,31,26
"11",1,11,1,0,1,0,0,50,816,"SU",0,0.49,0.36,0.45,49,36,45,51,64,55
"12",1,12,1,0,0,1,10,60,1100,"SU",1,0.47,0.51,0.5,47,51,50,53,49,50
"13",1,13,1,1,0,0,0,60,800,"SU",0,0.52,0.54,0.7,52,54,70,48,46,30
"14",1,14,1,1,1,1,10,70,1166,"SU",1,0.5,0.63,0.74,50,63,74,50,37,26
"15",1,15,1,0,1,0,0,70,866,"SU",0,0.52,0.48,0.56,52,48,56,48,52,44
"16",1,16,1,1,0,0,0,70,1566,"SU",0,0.58,0.61,0.7,58,61,70,42,39,30
"17",1,17,1,0,1,0,0,70,766,"SU",0,0.47,0.44,0.46,47,44,46,53,56,54
"18",1,18,1,0,0,1,10,80,1467,"SU",1,0.51,0.51,0.49,51,51,49,49,49,51
"19",1,19,1,1,1,1,10,90,2266,"SU",1,0.62,0.68,0.72,62,68,72,38,32,28
"20",1,20,1,0,1,0,0,90,750,"SU",0,0.53,0.48,0.68,53,48,68,47,52,32
"21",1,21,1,1,0,0,0,90,1200,"SU",0,0.6,0.64,0.69,60,64,69,40,36,31
"22",1,22,1,1,1,1,10,100,950,"SU",1,0.61,0.58,0.76,61,58,76,39,42,24
"23",1,23,1,1,1,1,10,110,1066,"SU",1,0.65,0.65,0.7,65,65,70,35,35,30
"24",1,24,1,0,1,0,0,110,633,"SU",0,0.53,0.45,0.54,53,45,54,47,55,46
"25",1,25,1,0,1,0,0,110,750,"SU",0,0.53,0.53,0.69,53,53,69,47,47,31
"26",1,26,1,0,1,0,0,110,1850,"SU",0,0.5,0.56,0.62,50,56,62,50,44,38
"27",1,27,1,1,0,0,0,110,1000,"SU",0,0.59,0.67,0.75,59,67,75,41,33,25
"28",1,28,1,0,1,0,0,110,1150,"SU",0,0.59,0.48,0.58,59,48,58,41,52,42
"29",1,29,1,1,0,0,0,110,1466,"SU",0,0.63,0.65,0.69,63,65,69,37,35,31
"30",1,30,1,1,1,1,10,120,1083,"SU",1,0.63,0.6,0.65,63,60,65,37,40,35
"31",1,31,1,1,0,0,0,120,1900,"SU",0,0.63,0.56,0.66,63,56,66,37,44,34
"32",1,32,1,1,0,0,0,120,1783,"SU",0,0.61,0.64,0.64,61,64,64,39,36,36
"33",1,33,1,0,0,1,10,130,2300,"SU",1,0.53,0.54,0.55,53,54,55,47,46,45
"34",1,34,1,0,0,1,10,140,1366,"SU",1,0.61,0.5,0.6,61,50,60,39,50,40
"35",1,35,1,1,0,0,0,140,1916,"SU",0,0.59,0.62,0.69,59,62,69,41,38,31
"36",1,36,1,1,1,1,10,150,1383,"SU",1,0.63,0.66,0.59,63,66,59,37,34,41
"37",1,37,1,0,1,0,0,150,1683,"SU",0,0.64,0.57,0.58,64,57,58,36,43,42
"38",1,38,1,0,1,0,0,150,1750,"SU",0,0.6,0.55,0.66,60,55,66,40,45,34
"39",1,39,1,1,1,1,10,160,4533,"SU",1,0.62,0.65,0.65,62,65,65,38,35,35
"40",1,40,1,0,0,1,10,170,1316,"SU",1,0.56,0.58,0.63,56,58,63,44,42,37
"41",1,41,1,1,1,1,10,180,1350,"SU",1,0.63,0.59,0.72,63,59,72,37,41,28
"42",1,42,1,1,0,0,0,180,2116,"SU",0,0.65,0.62,0.67,65,62,67,35,38,33
"43",1,43,1,1,0,0,0,180,1450,"SU",0,0.64,0.61,0.69,64,61,69,36,39,31
"44",1,44,1,1,1,1,10,190,1300,"SU",1,0.7,0.63,0.74,70,63,74,30,37,26
"45",1,45,1,1,1,1,10,200,1233,"SU",1,0.71,0.74,0.64,71,74,64,29,26,36
"46",1,46,1,0,1,0,0,200,817,"SU",0,0.53,0.63,0.47,53,63,47,47,37,53
"47",1,47,1,1,1,1,10,210,2017,"SU",1,0.69,0.67,0.69,69,67,69,31,33,31
"48",1,48,1,1,0,0,0,210,1083,"SU",0,0.66,0.61,0.64,66,61,64,34,39,36
"49",1,49,1,0,1,0,0,210,1250,"SU",0,0.57,0.62,0.56,57,62,56,43,38,44
"50",1,50,1,0,0,1,10,220,1266,"SU",1,0.57,0.59,0.59,57,59,59,43,41,41
"51",1,51,1,0,1,0,0,220,1250,"SU",0,0.66,0.53,0.47,66,53,47,34,47,53
"52",1,52,1,0,0,1,10,230,1517,"SU",1,0.65,0.6,0.57,65,60,57,35,40,43
"53",1,53,1,0,1,0,0,230,1783,"SU",0,0.62,0.65,0.61,62,65,61,38,35,39
"54",1,54,1,1,0,0,0,230,1116,"SU",0,0.51,0.66,0.69,51,66,69,49,34,31
"55",1,55,1,0,1,0,0,230,1233,"SU",0,0.55,0.63,0.48,55,63,48,45,37,52
"56",1,56,1,1,1,1,10,240,1400,"SU",1,0.65,0.63,0.66,65,63,66,35,37,34
"57",1,57,1,0,0,1,10,250,916,"SU",1,0.63,0.67,0.63,63,67,63,37,33,37
"58",1,58,1,1,1,1,10,260,1066,"SU",1,0.59,0.62,0.74,59,62,74,41,38,26
"59",1,59,1,1,0,0,0,260,1083,"SU",0,0.69,0.68,0.66,69,68,66,31,32,34
"60",1,60,1,0,0,1,10,270,783,"SU",1,0.59,0.65,0.56,59,65,56,41,35,44
"61",1,61,1,1,1,1,10,280,1183,"SU",1,0.69,0.68,0.57,69,68,57,31,32,43
"62",1,62,1,1,1,1,10,290,1000,"SU",1,0.58,0.65,0.69,58,65,69,42,35,31
"63",1,63,1,0,1,0,0,290,966,"SU",0,0.67,0.66,0.58,67,66,58,33,34,42
"64",1,64,1,0,0,1,10,300,1966,"SU",1,0.64,0.63,0.59,64,63,59,36,37,41
"65",1,65,1,0,0,1,10,310,1050,"SU",1,0.59,0.51,0.57,59,51,57,41,49,43
"66",1,66,1,1,1,1,10,320,983,"SU",1,0.68,0.6,0.71,68,60,71,32,40,29
"67",1,67,1,0,0,1,10,330,1966,"SU",1,0.59,0.66,0.59,59,66,59,41,34,41
"68",1,68,1,0,1,0,0,330,1500,"SU",0,0.65,0.65,0.63,65,65,63,35,35,37
"69",1,69,1,0,0,1,10,340,1200,"SU",1,0.6,0.66,0.64,60,66,64,40,34,36
"70",1,70,1,0,0,1,10,350,2050,"SU",1,0.73,0.63,0.69,73,63,69,27,37,31
"71",1,71,1,1,0,0,0,350,3066,"SU",0,0.72,0.67,0.66,72,67,66,28,33,34
"72",1,72,1,1,0,0,0,350,1583,"SU",0,0.72,0.71,0.57,72,71,57,28,29,43
"73",1,73,1,0,0,1,10,360,850,"SU",1,0.62,0.63,0.65,62,63,65,38,37,35
"74",1,74,1,0,0,1,10,370,1466,"SU",1,0.66,0.71,0.59,66,71,59,34,29,41
"75",1,75,1,1,1,1,10,380,1433,"SU",1,0.61,0.65,0.72,61,65,72,39,35,28
"76",1,76,1,0,0,1,10,390,2366,"SU",1,0.65,0.61,0.66,65,61,66,35,39,34
"77",1,77,1,1,0,0,0,390,1716,"SU",0,0.68,0.65,0.53,68,65,53,32,35,47
"78",1,78,1,0,0,1,10,400,1216,"SU",1,0.65,0.67,0.65,65,67,65,35,33,35
"79",1,79,1,1,1,1,10,410,3066,"SU",1,0.73,0.68,0.56,73,68,56,27,32,44
"80",1,80,1,1,1,1,10,420,1133,"SU",1,0.71,0.59,0.68,71,59,68,29,41,32
"81",1,81,1,0,0,1,10,430,1100,"SU",1,0.68,0.68,0.56,68,68,56,32,32,44
"82",1,82,1,0,0,1,10,440,1783,"SU",1,0.73,0.6,0.57,73,60,57,27,40,43
"83",1,83,1,0,0,1,10,450,1500,"SU",1,0.65,0.55,0.58,65,55,58,35,45,42
"84",1,84,1,0,0,1,10,460,900,"SU",1,0.69,0.58,0.61,69,58,61,31,42,39
"85",1,85,1,0,0,1,10,470,1033,"SU",1,0.76,0.69,0.63,76,69,63,24,31,37
"86",1,86,1,0,1,0,0,470,1016,"SU",0,0.72,0.74,0.58,72,74,58,28,26,42
"87",1,87,1,1,1,1,10,480,1350,"SU",1,0.74,0.64,0.59,74,64,59,26,36,41
"88",1,88,1,1,1,1,10,490,900,"SU",1,0.79,0.71,0.63,79,71,63,21,29,37
